"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1311"
"Start Time: 1/25/2023 2:43:56.81 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"0","0.00","21.287"
"1","0.02","21.283"
"2","0.04","21.285"
"3","0.06","21.264"
"4","0.08","21.266"
"5","0.10","21.255"
"6","0.12","21.260"
"7","0.14","21.259"
"8","0.16","21.256"
"9","0.18","21.259"
"10","0.20","21.259"
"11","0.22","21.265"
"12","0.24","21.273"
"13","0.26","21.284"
"14","0.28","21.283"
"15","0.30","21.290"
"16","0.32","21.284"
"17","0.34","21.285"
"18","0.36","21.285"
"19","0.38","21.275"
"20","0.40","21.266"
"21","0.42","21.262"
"22","0.44","21.262"
"23","0.46","21.265"
"24","0.48","21.255"
"25","0.50","21.260"
"26","0.52","21.253"
"27","0.54","21.261"
"28","0.56","21.273"
"29","0.58","21.272"
"30","0.60","21.284"
"31","0.62","21.284"
"32","0.64","21.290"
"33","0.66","21.282"
"34","0.68","21.287"
"35","0.70","21.283"
"36","0.72","21.276"
"37","0.74","21.276"
"38","0.76","21.272"
"39","0.78","21.264"
"40","0.80","21.260"
"41","0.82","21.265"
"42","0.84","21.257"
"43","0.86","21.276"
"44","0.88","21.277"
"45","0.90","21.284"
"46","0.92","21.281"
"47","0.94","21.290"
"48","0.96","21.300"
"49","0.98","21.291"
"50","1.00","21.286"
"51","1.02","21.279"
"52","1.04","21.277"
"53","1.06","21.278"
"54","1.08","21.276"
"55","1.10","21.270"
"56","1.12","21.264"
"57","1.14","21.270"
"58","1.16","21.272"
"59","1.18","21.279"
"60","1.20","21.275"
"61","1.22","21.288"
"62","1.24","21.288"
"63","1.26","21.302"
"64","1.28","21.308"
"65","1.30","21.307"
"66","1.32","21.304"
"67","1.34","21.300"
"68","1.36","21.293"
"69","1.38","21.288"
"70","1.40","21.280"
"71","1.42","21.275"
"72","1.44","21.270"
"73","1.46","21.270"
"74","1.48","21.273"
"75","1.50","21.272"
"76","1.52","21.282"
"77","1.54","21.287"
"78","1.56","21.290"
"79","1.58","21.302"
"80","1.60","21.300"
"81","1.62","21.310"
"82","1.64","21.305"
"83","1.66","21.304"
"84","1.68","21.302"
"85","1.70","21.294"
"86","1.72","21.292"
"87","1.74","21.288"
"88","1.76","21.279"
"89","1.78","21.273"
"90","1.80","21.274"
"91","1.82","21.287"
"92","1.84","21.285"
"93","1.86","21.286"
"94","1.88","21.293"
"95","1.90","21.300"
"96","1.92","21.306"
"97","1.94","21.299"
"98","1.96","21.313"
"99","1.98","21.311"
"100","2.00","21.316"
"101","2.02","21.308"
"102","2.04","21.303"
"103","2.06","21.290"
"104","2.08","21.290"
"105","2.10","21.289"
"106","2.12","21.287"
"107","2.14","21.287"
"108","2.16","21.294"
"109","2.18","21.293"
"110","2.20","21.297"
"111","2.22","21.305"
"112","2.24","21.310"
"113","2.26","21.301"
"114","2.28","21.320"
"115","2.30","21.314"
"116","2.32","21.315"
"117","2.34","21.305"
"118","2.36","21.305"
"119","2.38","21.295"
"120","2.40","21.290"
"121","2.42","21.283"
"122","2.44","21.282"
"123","2.46","21.285"
"124","2.48","21.288"
"125","2.50","21.287"
"126","2.52","21.299"
"127","2.54","21.301"
"128","2.56","21.305"
"129","2.58","21.290"
"130","2.60","21.306"
"131","2.62","21.309"
"132","2.64","21.307"
"133","2.66","21.309"
"134","2.68","21.307"
"135","2.70","21.300"
"136","2.72","21.294"
"137","2.74","21.297"
"138","2.76","21.297"
"139","2.78","21.293"
"140","2.80","21.294"
"141","2.82","21.298"
"142","2.84","21.297"
"143","2.86","21.298"
"144","2.88","21.314"
"145","2.90","21.309"
"146","2.92","21.312"
"147","2.94","21.315"
"148","2.96","21.318"
"149","2.98","21.321"
"150","3.00","21.316"
"151","3.02","21.308"
"152","3.04","21.300"
"153","3.06","21.298"
"154","3.08","21.293"
"155","3.10","21.290"
"156","3.12","21.291"
"157","3.14","21.287"
"158","3.16","21.288"
"159","3.18","21.288"
"160","3.20","21.299"
"161","3.22","21.296"
"162","3.24","21.312"
"163","3.26","21.309"
"164","3.28","21.320"
"165","3.30","21.320"
"166","3.32","21.311"
"167","3.34","21.306"
"168","3.36","21.308"
"169","3.38","21.295"
"170","3.40","21.295"
"171","3.42","21.287"
"172","3.44","21.291"
"173","3.46","21.296"
"174","3.48","21.293"
"175","3.50","21.301"
"176","3.52","21.307"
"177","3.54","21.320"
"178","3.56","21.318"
"179","3.58","21.319"
"180","3.60","21.326"
"181","3.62","21.329"
"182","3.64","21.319"
"183","3.66","21.317"
"184","3.68","21.313"
"185","3.70","21.312"
"186","3.72","21.311"
"187","3.74","21.313"
"188","3.76","21.297"
"189","3.78","21.299"
"190","3.80","21.302"
"191","3.82","21.302"
"192","3.84","21.304"
"193","3.86","21.314"
"194","3.88","21.315"
"195","3.90","21.319"
"196","3.92","21.329"
"197","3.94","21.328"
"198","3.96","21.322"
"199","3.98","21.321"
"200","4.00","21.315"
"201","4.02","21.314"
"202","4.04","21.307"
"203","4.06","21.296"
"204","4.08","21.298"
"205","4.10","21.295"
"206","4.12","21.298"
"207","4.14","21.296"
"208","4.16","21.306"
"209","4.18","21.320"
"210","4.20","21.309"
"211","4.22","21.317"
"212","4.24","21.323"
"213","4.26","21.325"
"214","4.28","21.324"
"215","4.30","21.327"
"216","4.32","21.312"
"217","4.34","21.317"
"218","4.36","21.309"
"219","4.38","21.306"
"220","4.40","21.313"
"221","4.42","21.297"
"222","4.44","21.297"
"223","4.46","21.299"
"224","4.48","21.299"
"225","4.50","21.300"
"226","4.52","21.307"
"227","4.54","21.317"
"228","4.56","21.323"
"229","4.58","21.309"
"230","4.60","21.316"
"231","4.62","21.322"
"232","4.64","21.316"
"233","4.66","21.309"
"234","4.68","21.304"
"235","4.70","21.301"
"236","4.72","21.300"
"237","4.74","21.290"
"238","4.76","21.304"
"239","4.78","21.294"
"240","4.80","21.296"
"241","4.82","21.302"
"242","4.84","21.297"
"243","4.86","21.311"
"244","4.88","21.316"
"245","4.90","21.320"
"246","4.92","21.326"
"247","4.94","21.322"
"248","4.96","21.322"
"249","4.98","21.331"
"250","5.00","21.315"
"251","5.02","21.322"
"252","5.04","21.303"
"253","5.06","21.299"
"254","5.08","21.297"
"255","5.10","21.298"
"256","5.12","21.307"
"257","5.14","21.302"
"258","5.16","21.319"
"259","5.18","21.328"
"260","5.20","21.339"
"261","5.22","21.315"
"262","5.24","21.319"
"263","5.26","21.321"
"264","5.28","21.323"
"265","5.30","21.317"
"266","5.32","21.318"
"267","5.34","21.305"
"268","5.36","21.306"
"269","5.38","21.300"
"270","5.40","21.294"
"271","5.42","21.296"
"272","5.44","21.289"
"273","5.46","21.295"
"274","5.48","21.296"
"275","5.50","21.299"
"276","5.52","21.303"
"277","5.54","21.317"
"278","5.56","21.317"
"279","5.58","21.326"
