"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1366"
"Start Time: 1/25/2023 2:42:10.18 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"0","0.00","21.235"
"1","0.02","21.238"
"2","0.04","21.242"
"3","0.06","21.248"
"4","0.08","21.244"
"5","0.10","21.252"
"6","0.12","21.257"
"7","0.14","21.264"
"8","0.16","21.264"
"9","0.18","21.259"
"10","0.20","21.264"
"11","0.22","21.254"
"12","0.24","21.253"
"13","0.26","21.255"
"14","0.28","21.241"
"15","0.30","21.237"
"16","0.32","21.236"
"17","0.34","21.237"
"18","0.36","21.240"
"19","0.38","21.245"
"20","0.40","21.238"
"21","0.42","21.253"
"22","0.44","21.254"
"23","0.46","21.253"
"24","0.48","21.261"
"25","0.50","21.261"
"26","0.52","21.262"
"27","0.54","21.252"
"28","0.56","21.255"
"29","0.58","21.251"
"30","0.60","21.245"
"31","0.62","21.235"
"32","0.64","21.238"
"33","0.66","21.230"
"34","0.68","21.225"
"35","0.70","21.228"
"36","0.72","21.240"
"37","0.74","21.240"
"38","0.76","21.251"
"39","0.78","21.262"
"40","0.80","21.257"
"41","0.82","21.271"
"42","0.84","21.259"
"43","0.86","21.260"
"44","0.88","21.260"
"45","0.90","21.248"
"46","0.92","21.241"
"47","0.94","21.243"
"48","0.96","21.232"
"49","0.98","21.230"
"50","1.00","21.230"
"51","1.02","21.229"
"52","1.04","21.243"
"53","1.06","21.236"
"54","1.08","21.243"
"55","1.10","21.244"
"56","1.12","21.251"
"57","1.14","21.253"
"58","1.16","21.255"
"59","1.18","21.259"
"60","1.20","21.256"
"61","1.22","21.246"
"62","1.24","21.249"
"63","1.26","21.233"
"64","1.28","21.224"
"65","1.30","21.227"
"66","1.32","21.225"
"67","1.34","21.227"
"68","1.36","21.231"
"69","1.38","21.239"
"70","1.40","21.235"
"71","1.42","21.238"
"72","1.44","21.250"
"73","1.46","21.246"
"74","1.48","21.259"
"75","1.50","21.256"
"76","1.52","21.251"
"77","1.54","21.246"
"78","1.56","21.244"
"79","1.58","21.242"
"80","1.60","21.232"
"81","1.62","21.221"
"82","1.64","21.224"
"83","1.66","21.220"
"84","1.68","21.232"
"85","1.70","21.234"
"86","1.72","21.235"
"87","1.74","21.238"
"88","1.76","21.247"
"89","1.78","21.250"
"90","1.80","21.257"
"91","1.82","21.257"
"92","1.84","21.262"
"93","1.86","21.259"
"94","1.88","21.247"
"95","1.90","21.251"
"96","1.92","21.242"
"97","1.94","21.237"
"98","1.96","21.236"
"99","1.98","21.234"
"100","2.00","21.222"
"101","2.02","21.226"
"102","2.04","21.233"
"103","2.06","21.234"
"104","2.08","21.239"
"105","2.10","21.244"
"106","2.12","21.254"
"107","2.14","21.247"
"108","2.16","21.261"
"109","2.18","21.251"
"110","2.20","21.253"
"111","2.22","21.252"
"112","2.24","21.241"
"113","2.26","21.241"
"114","2.28","21.233"
"115","2.30","21.229"
"116","2.32","21.234"
"117","2.34","21.233"
"118","2.36","21.229"
"119","2.38","21.237"
"120","2.40","21.242"
"121","2.42","21.249"
"122","2.44","21.256"
"123","2.46","21.263"
"124","2.48","21.259"
"125","2.50","21.262"
"126","2.52","21.259"
"127","2.54","21.256"
"128","2.56","21.257"
"129","2.58","21.243"
"130","2.60","21.240"
"131","2.62","21.236"
"132","2.64","21.237"
"133","2.66","21.238"
"134","2.68","21.239"
"135","2.70","21.245"
"136","2.72","21.241"
"137","2.74","21.248"
"138","2.76","21.255"
"139","2.78","21.263"
"140","2.80","21.258"
"141","2.82","21.265"
"142","2.84","21.258"
"143","2.86","21.259"
"144","2.88","21.260"
"145","2.90","21.251"
"146","2.92","21.243"
"147","2.94","21.242"
"148","2.96","21.240"
"149","2.98","21.236"
"150","3.00","21.230"
"151","3.02","21.240"
"152","3.04","21.246"
"153","3.06","21.248"
"154","3.08","21.260"
"155","3.10","21.267"
"156","3.12","21.274"
"157","3.14","21.277"
"158","3.16","21.270"
"159","3.18","21.269"
"160","3.20","21.270"
"161","3.22","21.257"
"162","3.24","21.260"
"163","3.26","21.257"
"164","3.28","21.257"
"165","3.30","21.254"
"166","3.32","21.248"
"167","3.34","21.247"
"168","3.36","21.250"
"169","3.38","21.247"
"170","3.40","21.261"
"171","3.42","21.261"
"172","3.44","21.272"
"173","3.46","21.278"
"174","3.48","21.273"
"175","3.50","21.278"
"176","3.52","21.280"
"177","3.54","21.275"
"178","3.56","21.271"
"179","3.58","21.264"
"180","3.60","21.259"
"181","3.62","21.266"
"182","3.64","21.252"
"183","3.66","21.254"
"184","3.68","21.256"
"185","3.70","21.255"
"186","3.72","21.266"
"187","3.74","21.265"
