Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 3727
Start Time: 2/1/2023 2:53:10.320 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,1.170
1,0.001,1.171
2,0.002,1.169
3,0.003,1.171
4,0.004,1.170
5,0.005,1.171
6,0.006,1.171
7,0.007,1.171
8,0.008,1.172
9,0.009,1.172
10,0.010,1.173
11,0.011,1.171
12,0.012,1.171
13,0.013,1.170
14,0.014,1.173
15,0.015,1.171
16,0.016,1.171
17,0.017,1.172
18,0.018,1.172
19,0.019,1.172
20,0.020,1.173
21,0.021,1.173
22,0.022,1.174
23,0.023,1.171
24,0.024,1.172
25,0.025,1.171
26,0.026,1.170
27,0.027,1.171
28,0.028,1.173
29,0.029,1.172
30,0.030,1.172
31,0.031,1.171
32,0.032,1.170
33,0.033,1.171
34,0.034,1.171
35,0.035,1.170
36,0.036,1.169
37,0.037,1.172
38,0.038,1.170
39,0.039,1.169
40,0.040,1.170
41,0.041,1.169
42,0.042,1.171
43,0.043,1.170
44,0.044,1.170
45,0.045,1.172
46,0.046,1.172
47,0.047,1.171
48,0.048,1.170
49,0.049,1.173
50,0.050,1.172
51,0.051,1.172
52,0.052,1.172
53,0.053,1.170
54,0.054,1.173
55,0.055,1.173
56,0.056,1.173
57,0.057,1.172
58,0.058,1.173
59,0.059,1.173
60,0.060,1.173
61,0.061,1.175
62,0.062,1.173
63,0.063,1.173
64,0.064,1.174
65,0.065,1.174
66,0.066,1.173
67,0.067,1.174
68,0.068,1.175
69,0.069,1.174
70,0.070,1.173
71,0.071,1.174
72,0.072,1.173
73,0.073,1.173
74,0.074,1.173
75,0.075,1.173
76,0.076,1.173
77,0.077,1.173
78,0.078,1.174
79,0.079,1.174
80,0.080,1.174
81,0.081,1.173
82,0.082,1.172
83,0.083,1.172
84,0.084,1.172
85,0.085,1.171
86,0.086,1.172
87,0.087,1.172
88,0.088,1.172
89,0.089,1.171
90,0.090,1.170
91,0.091,1.172
92,0.092,1.172
93,0.093,1.171
94,0.094,1.171
95,0.095,1.171
96,0.096,1.171
97,0.097,1.171
98,0.098,1.171
99,0.099,1.170
100,0.100,1.170
101,0.101,1.170
102,0.102,1.170
103,0.103,1.170
104,0.104,1.170
105,0.105,1.171
106,0.106,1.170
107,0.107,1.170
108,0.108,1.170
109,0.109,1.170
110,0.110,1.169
111,0.111,1.172
112,0.112,1.169
113,0.113,1.171
114,0.114,1.171
115,0.115,1.169
116,0.116,1.169
117,0.117,1.171
118,0.118,1.169
119,0.119,1.169
120,0.120,1.170
121,0.121,1.170
122,0.122,1.169
123,0.123,1.170
124,0.124,1.170
125,0.125,1.171
126,0.126,1.170
127,0.127,1.171
128,0.128,1.171
129,0.129,1.171
130,0.130,1.173
131,0.131,1.172
132,0.132,1.172
133,0.133,1.171
134,0.134,1.172
135,0.135,1.173
136,0.136,1.171
137,0.137,1.173
138,0.138,1.172
139,0.139,1.172
140,0.140,1.172
141,0.141,1.171
142,0.142,1.171
143,0.143,1.170
144,0.144,1.170
145,0.145,1.172
146,0.146,1.172
147,0.147,1.173
148,0.148,1.173
149,0.149,1.172
150,0.150,1.172
151,0.151,1.170
152,0.152,1.172
