Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 1343
Start Time: 1/25/2023 2:49:42.74 PM
Scan Rate: 50
Sample,Time (s),CH1 (°C)
0,0.00,106.077
1,0.02,106.130
2,0.04,106.119
3,0.06,106.126
4,0.08,106.138
5,0.10,106.143
6,0.12,106.125
7,0.14,106.127
8,0.16,106.135
9,0.18,106.119
10,0.20,106.124
11,0.22,106.124
12,0.24,106.115
13,0.26,106.096
14,0.28,106.089
15,0.30,106.108
16,0.32,106.120
17,0.34,106.108
18,0.36,106.106
19,0.38,106.116
20,0.40,106.103
21,0.42,106.085
22,0.44,106.091
23,0.46,106.094
24,0.48,106.100
25,0.50,106.082
26,0.52,106.089
27,0.54,106.093
28,0.56,106.100
29,0.58,106.089
30,0.60,106.081
31,0.62,106.073
32,0.64,106.061
33,0.66,106.058
34,0.68,106.093
35,0.70,106.113
36,0.72,106.120
37,0.74,106.122
38,0.76,106.122
39,0.78,106.147
40,0.80,106.142
41,0.82,106.147
42,0.84,106.135
43,0.86,106.125
44,0.88,106.100
45,0.90,106.111
46,0.92,106.124
47,0.94,106.129
48,0.96,106.117
49,0.98,106.101
50,1.00,106.111
51,1.02,106.102
52,1.04,106.117
53,1.06,106.131
54,1.08,106.137
55,1.10,106.146
56,1.12,106.142
57,1.14,106.133
58,1.16,106.122
59,1.18,106.143
60,1.20,106.146
61,1.22,106.160
62,1.24,106.159
63,1.26,106.166
64,1.28,106.170
65,1.30,106.168
66,1.32,106.183
67,1.34,106.184
68,1.36,106.179
69,1.38,106.178
70,1.40,106.178
71,1.42,106.152
72,1.44,106.120
73,1.46,106.105
74,1.48,106.099
75,1.50,106.133
76,1.52,106.131
77,1.54,106.151
78,1.56,106.186
79,1.58,106.201
80,1.60,106.204
81,1.62,106.232
82,1.64,106.266
83,1.66,106.291
84,1.68,106.272
85,1.70,106.289
86,1.72,106.286
87,1.74,106.285
88,1.76,106.297
89,1.78,106.318
90,1.80,106.319
91,1.82,106.322
92,1.84,106.319
93,1.86,106.318
94,1.88,106.309
95,1.90,106.313
96,1.92,106.303
97,1.94,106.290
98,1.96,106.279
99,1.98,106.330
100,2.00,106.337
101,2.02,106.318
102,2.04,106.286
103,2.06,106.263
104,2.08,106.261
105,2.10,106.253
106,2.12,106.264
107,2.14,106.263
108,2.16,106.170
109,2.18,106.181
110,2.20,106.204
111,2.22,106.184
112,2.24,106.211
113,2.26,106.219
114,2.28,106.212
115,2.30,106.226
116,2.32,106.208
117,2.34,106.209
118,2.36,106.235
119,2.38,106.223
120,2.40,106.217
121,2.42,106.212
122,2.44,106.219
123,2.46,106.202
124,2.48,106.198
125,2.50,106.212
126,2.52,106.200
127,2.54,106.235
128,2.56,106.272
129,2.58,106.271
130,2.60,106.247
131,2.62,106.223
132,2.64,106.235
133,2.66,106.253
134,2.68,106.254
135,2.70,106.325
136,2.72,106.245
137,2.74,106.262
138,2.76,106.261
139,2.78,106.263
140,2.80,106.291
141,2.82,106.279
142,2.84,106.262
143,2.86,106.266
144,2.88,106.272
145,2.90,106.280
146,2.92,106.269
147,2.94,106.273
148,2.96,106.278
149,2.98,106.268
150,3.00,106.224
151,3.02,106.235
152,3.04,106.242
153,3.06,106.228
154,3.08,106.244
155,3.10,106.215
156,3.12,106.228
157,3.14,106.216
158,3.16,106.193
159,3.18,106.235
160,3.20,106.245
161,3.22,106.262
162,3.24,106.279
163,3.26,106.319
164,3.28,106.293
165,3.30,106.226
166,3.32,106.210
167,3.34,106.220
168,3.36,106.213
169,3.38,106.201
170,3.40,106.176
171,3.42,106.205
172,3.44,106.222
173,3.46,106.226
174,3.48,106.236
175,3.50,106.251
176,3.52,106.249
177,3.54,106.230
178,3.56,106.253
179,3.58,106.255
180,3.60,106.256
181,3.62,106.242
182,3.64,106.255
183,3.66,106.239
184,3.68,106.233
185,3.70,106.239
186,3.72,106.219
187,3.74,106.205
188,3.76,106.249
189,3.78,106.199
190,3.80,106.206
191,3.82,106.232
192,3.84,106.191
193,3.86,106.201
194,3.88,106.205
195,3.90,106.227
196,3.92,106.244
197,3.94,106.241
198,3.96,106.241
199,3.98,106.245
200,4.00,106.246
201,4.02,106.244
202,4.04,106.238
203,4.06,106.249
204,4.08,106.246
205,4.10,106.240
206,4.12,106.236
207,4.14,106.239
208,4.16,106.239
209,4.18,106.233
