Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 1330
Start Time: 1/25/2023 2:51:54.39 PM
Scan Rate: 50
Sample,Time (s),CH1 (°C)
310,6.20,106.487
311,6.22,106.481
312,6.24,106.471
313,6.26,106.476
314,6.28,106.481
315,6.30,106.469
316,6.32,106.469
317,6.34,106.451
318,6.36,106.463
319,6.38,106.461
320,6.40,106.477
321,6.42,106.479
322,6.44,106.468
323,6.46,106.476
324,6.48,106.478
325,6.50,106.491
326,6.52,106.487
327,6.54,106.475
328,6.56,106.481
329,6.58,106.476
330,6.60,106.479
331,6.62,106.493
332,6.64,106.509
333,6.66,106.487
334,6.68,106.490
335,6.70,106.482
336,6.72,106.476
337,6.74,106.499
338,6.76,106.506
339,6.78,106.509
340,6.80,106.495
341,6.82,106.501
342,6.84,106.510
343,6.86,106.514
344,6.88,106.519
345,6.90,106.526
346,6.92,106.510
347,6.94,106.507
348,6.96,106.506
349,6.98,106.510
350,7.00,106.511
351,7.02,106.511
352,7.04,106.511
353,7.06,106.519
354,7.08,106.519
355,7.10,106.510
356,7.12,106.508
357,7.14,106.502
358,7.16,106.507
359,7.18,106.517
360,7.20,106.515
361,7.22,106.505
362,7.24,106.505
363,7.26,106.509
364,7.28,106.514
365,7.30,106.512
366,7.32,106.523
367,7.34,106.541
368,7.36,106.554
369,7.38,106.571
370,7.40,106.569
371,7.42,106.580
372,7.44,106.583
373,7.46,106.593
374,7.48,106.590
375,7.50,106.579
376,7.52,106.579
377,7.54,106.593
378,7.56,106.582
379,7.58,106.585
380,7.60,106.585
381,7.62,106.575
382,7.64,106.576
383,7.66,106.576
384,7.68,106.564
385,7.70,106.565
386,7.72,106.562
387,7.74,106.575
388,7.76,106.587
389,7.78,106.595
390,7.80,106.598
391,7.82,106.586
392,7.84,106.578
393,7.86,106.588
394,7.88,106.601
395,7.90,106.597
396,7.92,106.586
397,7.94,106.576
398,7.96,106.574
399,7.98,106.566
400,8.00,106.561
401,8.02,106.547
402,8.04,106.535
403,8.06,106.526
404,8.08,106.516
405,8.10,106.511
406,8.12,106.497
407,8.14,106.475
408,8.16,106.486
409,8.18,106.486
410,8.20,106.492
411,8.22,106.480
412,8.24,106.474
413,8.26,106.466
414,8.28,106.455
415,8.30,106.448
416,8.32,106.446
417,8.34,106.436
418,8.36,106.429
419,8.38,106.431
420,8.40,106.433
421,8.42,106.430
422,8.44,106.410
423,8.46,106.405
424,8.48,106.392
425,8.50,106.385
426,8.52,106.393
427,8.54,106.396
428,8.56,106.386
429,8.58,106.366
430,8.60,106.362
431,8.62,106.373
432,8.64,106.382
433,8.66,106.372
434,8.68,106.355
435,8.70,106.367
436,8.72,106.372
437,8.74,106.366
438,8.76,106.364
439,8.78,106.345
440,8.80,106.347
441,8.82,106.351
442,8.84,106.348
443,8.86,106.342
444,8.88,106.331
445,8.90,106.349
446,8.92,106.344
447,8.94,106.349
448,8.96,106.374
449,8.98,106.371
450,9.00,106.366
451,9.02,106.352
452,9.04,106.342
453,9.06,106.350
454,9.08,106.341
455,9.10,106.347
456,9.12,106.323
457,9.14,106.318
458,9.16,106.340
459,9.18,106.357
460,9.20,106.353
461,9.22,106.353
462,9.24,106.368
463,9.26,106.366
464,9.28,106.365
465,9.30,106.368
466,9.32,106.383
467,9.34,106.393
468,9.36,106.401
469,9.38,106.393
470,9.40,106.399
471,9.42,106.401
472,9.44,106.408
473,9.46,106.412
474,9.48,106.404
475,9.50,106.415
476,9.52,106.435
477,9.54,106.429
478,9.56,106.422
479,9.58,106.417
480,9.60,106.417
481,9.62,106.421
482,9.64,106.428
483,9.66,106.427
484,9.68,106.437
485,9.70,106.444
486,9.72,106.431
487,9.74,106.447
488,9.76,106.450
489,9.78,106.444
490,9.80,106.451
491,9.82,106.456
492,9.84,106.453
493,9.86,106.447
494,9.88,106.437
495,9.90,106.454
496,9.92,106.449
497,9.94,106.454
498,9.96,106.451
499,9.98,106.442
500,10.00,106.459
501,10.02,106.469
502,10.04,106.467
503,10.06,106.463
504,10.08,106.461
505,10.10,106.490
506,10.12,106.495
507,10.14,106.481
508,10.16,106.490
509,10.18,106.479
510,10.20,106.483
511,10.22,106.507
512,10.24,106.508
513,10.26,106.509
514,10.28,106.507
515,10.30,106.510
516,10.32,106.511
517,10.34,106.500
518,10.36,106.472
519,10.38,106.478
520,10.40,106.458
521,10.42,106.466
522,10.44,106.463
523,10.46,106.462
524,10.48,106.470
525,10.50,106.462
526,10.52,106.456
527,10.54,106.458
528,10.56,106.446
529,10.58,106.441
530,10.60,106.432
531,10.62,106.449
532,10.64,106.468
533,10.66,106.475
534,10.68,106.477
535,10.70,106.485
536,10.72,106.492
537,10.74,106.491
538,10.76,106.490
539,10.78,106.489
540,10.80,106.510
541,10.82,106.514
542,10.84,106.514
543,10.86,106.505
544,10.88,106.514
545,10.90,106.502
546,10.92,106.520
547,10.94,106.516
548,10.96,106.521
549,10.98,106.501
550,11.00,106.493
551,11.02,106.493
552,11.04,106.496
553,11.06,106.488
554,11.08,106.461
555,11.10,106.455
556,11.12,106.463
557,11.14,106.454
558,11.16,106.467
559,11.18,106.442
560,11.20,106.437
561,11.22,106.428
562,11.24,106.416
563,11.26,106.436
564,11.28,106.462
565,11.30,106.480
566,11.32,106.488
567,11.34,106.489
568,11.36,106.506
569,11.38,106.508
570,11.40,106.525
571,11.42,106.554
572,11.44,106.578
573,11.46,106.575
574,11.48,106.585
575,11.50,106.596
576,11.52,106.604
577,11.54,106.623
578,11.56,106.624
579,11.58,106.622
580,11.60,106.620
581,11.62,106.626
582,11.64,106.630
583,11.66,106.616
584,11.68,106.622
585,11.70,106.605
586,11.72,106.610
587,11.74,106.637
588,11.76,106.630
589,11.78,106.622
590,11.80,106.617
591,11.82,106.622
592,11.84,106.618
593,11.86,106.622
594,11.88,106.616
595,11.90,106.614
596,11.92,106.609
597,11.94,106.598
598,11.96,106.597
599,11.98,106.612
600,12.00,106.605
601,12.02,106.595
602,12.04,106.607
603,12.06,106.638
604,12.08,106.695
605,12.10,106.608
606,12.12,106.584
607,12.14,106.568
608,12.16,106.560
609,12.18,106.565
610,12.20,106.575
611,12.22,106.574
612,12.24,106.559
613,12.26,106.563
614,12.28,106.551
615,12.30,106.534
616,12.32,106.510
617,12.34,106.490
618,12.36,106.481
619,12.38,106.476
620,12.40,106.470
621,12.42,106.461
622,12.44,106.426
623,12.46,106.431
624,12.48,106.431
625,12.50,106.436
626,12.52,106.442
627,12.54,106.437
628,12.56,106.437
629,12.58,106.439
630,12.60,106.433
631,12.62,106.435
632,12.64,106.453
633,12.66,106.448
634,12.68,106.463
635,12.70,106.479
636,12.72,106.489
637,12.74,106.485
638,12.76,106.490
639,12.78,106.495
640,12.80,106.489
641,12.82,106.479
642,12.84,106.475
643,12.86,106.477
644,12.88,106.478
645,12.90,106.470
646,12.92,106.472
647,12.94,106.462
648,12.96,106.462
649,12.98,106.475
650,13.00,106.478
651,13.02,106.479
652,13.04,106.476
653,13.06,106.480
654,13.08,106.485
655,13.10,106.498
656,13.12,106.490
657,13.14,106.487
658,13.16,106.488
659,13.18,106.477
660,13.20,106.485
661,13.22,106.485
662,13.24,106.495
663,13.26,106.488
664,13.28,106.496
665,13.30,106.496
666,13.32,106.503
667,13.34,106.524
