"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1276"
"Start Time: 1/25/2023 2:40:11.39 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"0","0.00","21.152"
"1","0.02","21.163"
"2","0.04","21.153"
"3","0.06","21.162"
"4","0.08","21.160"
"5","0.10","21.161"
"6","0.12","21.156"
"7","0.14","21.169"
"8","0.16","21.169"
"9","0.18","21.185"
"10","0.20","21.195"
"11","0.22","21.191"
"12","0.24","21.200"
"13","0.26","21.199"
"14","0.28","21.193"
"15","0.30","21.202"
"16","0.32","21.195"
"17","0.34","21.187"
"18","0.36","21.192"
"19","0.38","21.185"
"20","0.40","21.189"
"21","0.42","21.192"
"22","0.44","21.191"
"23","0.46","21.196"
"24","0.48","21.198"
"25","0.50","21.197"
"26","0.52","21.210"
"27","0.54","21.220"
"28","0.56","21.226"
"29","0.58","21.230"
"30","0.60","21.229"
"31","0.62","21.229"
"32","0.64","21.224"
"33","0.66","21.219"
"34","0.68","21.208"
"35","0.70","21.221"
"36","0.72","21.210"
"37","0.74","21.202"
"38","0.76","21.198"
"39","0.78","21.211"
"40","0.80","21.220"
"41","0.82","21.216"
"42","0.84","21.231"
"43","0.86","21.232"
"44","0.88","21.233"
"45","0.90","21.236"
"46","0.92","21.239"
"47","0.94","21.236"
"48","0.96","21.230"
"49","0.98","21.214"
"50","1.00","21.216"
"51","1.02","21.210"
"52","1.04","21.204"
"53","1.06","21.209"
"54","1.08","21.200"
"55","1.10","21.219"
"56","1.12","21.210"
"57","1.14","21.219"
"58","1.16","21.229"
"59","1.18","21.235"
"60","1.20","21.235"
"61","1.22","21.242"
"62","1.24","21.247"
"63","1.26","21.239"
"64","1.28","21.235"
"65","1.30","21.238"
"66","1.32","21.223"
"67","1.34","21.214"
"68","1.36","21.223"
"69","1.38","21.209"
"70","1.40","21.207"
"71","1.42","21.212"
"72","1.44","21.212"
"73","1.46","21.216"
"74","1.48","21.226"
"75","1.50","21.217"
"76","1.52","21.238"
"77","1.54","21.233"
"78","1.56","21.241"
"79","1.58","21.250"
"80","1.60","21.245"
"81","1.62","21.238"
"82","1.64","21.232"
"83","1.66","21.232"
"84","1.68","21.219"
"85","1.70","21.214"
"86","1.72","21.211"
"87","1.74","21.214"
"88","1.76","21.211"
"89","1.78","21.214"
"90","1.80","21.222"
"91","1.82","21.229"
"92","1.84","21.232"
"93","1.86","21.226"
"94","1.88","21.239"
"95","1.90","21.237"
"96","1.92","21.240"
"97","1.94","21.236"
"98","1.96","21.233"
"99","1.98","21.231"
"100","2.00","21.222"
"101","2.02","21.218"
"102","2.04","21.206"
