"Device: USB-2408-2AO"
"Serial Number: 1C3CD21"
"Channel Count: 1"
"Sample Count: 1300"
"Start Time: 1/25/2023 2:43:08.66 PM"
"Scan Rate: 50"
"Sample","Time (s)","CH1 (°C)"
"257","5.14","21.342"
"258","5.16","21.361"
"259","5.18","21.353"
"260","5.20","21.346"
"261","5.22","21.345"
"262","5.24","21.343"
"263","5.26","21.354"
"264","5.28","21.327"
"265","5.30","21.337"
"266","5.32","21.366"
"267","5.34","21.372"
"268","5.36","21.368"
"269","5.38","21.381"
"270","5.40","21.388"
"271","5.42","21.413"
"272","5.44","21.432"
"273","5.46","21.395"
"274","5.48","21.380"
"275","5.50","21.361"
"276","5.52","21.352"
"277","5.54","21.341"
"278","5.56","21.342"
"279","5.58","21.320"
"280","5.60","21.303"
"281","5.62","21.263"
"282","5.64","21.290"
"283","5.66","21.392"
"284","5.68","21.426"
"285","5.70","21.414"
"286","5.72","21.386"
"287","5.74","21.379"
"288","5.76","21.369"
"289","5.78","21.343"
"290","5.80","21.315"
"291","5.82","21.257"
"292","5.84","21.363"
"293","5.86","21.425"
"294","5.88","21.384"
"295","5.90","21.353"
"296","5.92","21.345"
"297","5.94","21.330"
"298","5.96","21.330"
"299","5.98","21.334"
"300","6.00","21.349"
"301","6.02","21.336"
"302","6.04","21.324"
"303","6.06","21.308"
"304","6.08","21.356"
"305","6.10","21.417"
"306","6.12","21.405"
"307","6.14","21.391"
"308","6.16","21.378"
"309","6.18","21.341"
"310","6.20","21.339"
"311","6.22","21.352"
"312","6.24","21.347"
"313","6.26","21.331"
"314","6.28","21.345"
"315","6.30","21.341"
"316","6.32","21.350"
"317","6.34","21.346"
"318","6.36","21.358"
"319","6.38","21.363"
"320","6.40","21.362"
"321","6.42","21.371"
"322","6.44","21.366"
"323","6.46","21.356"
"324","6.48","21.351"
"325","6.50","21.346"
"326","6.52","21.337"
"327","6.54","21.345"
"328","6.56","21.346"
"329","6.58","21.335"
"330","6.60","21.336"
"331","6.62","21.339"
"332","6.64","21.337"
"333","6.66","21.346"
"334","6.68","21.350"
"335","6.70","21.355"
"336","6.72","21.359"
"337","6.74","21.368"
"338","6.76","21.373"
"339","6.78","21.361"
"340","6.80","21.357"
"341","6.82","21.344"
"342","6.84","21.345"
"343","6.86","21.336"
"344","6.88","21.330"
"345","6.90","21.329"
"346","6.92","21.331"
"347","6.94","21.328"
"348","6.96","21.340"
"349","6.98","21.347"
"350","7.00","21.347"
"351","7.02","21.355"
"352","7.04","21.362"
"353","7.06","21.360"
"354","7.08","21.361"
"355","7.10","21.355"
"356","7.12","21.335"
"357","7.14","21.326"
"358","7.16","21.334"
"359","7.18","21.336"
"360","7.20","21.339"
"361","7.22","21.330"
"362","7.24","21.324"
"363","7.26","21.326"
"364","7.28","21.331"
"365","7.30","21.335"
"366","7.32","21.343"
"367","7.34","21.344"
"368","7.36","21.346"
"369","7.38","21.354"
"370","7.40","21.357"
"371","7.42","21.358"
"372","7.44","21.353"
"373","7.46","21.350"
"374","7.48","21.342"
"375","7.50","21.343"
"376","7.52","21.336"
"377","7.54","21.325"
"378","7.56","21.327"
"379","7.58","21.326"
"380","7.60","21.335"
"381","7.62","21.342"
"382","7.64","21.338"
"383","7.66","21.338"
"384","7.68","21.346"
"385","7.70","21.356"
"386","7.72","21.357"
"387","7.74","21.360"
"388","7.76","21.351"
"389","7.78","21.345"
"390","7.80","21.347"
"391","7.82","21.345"
"392","7.84","21.338"
"393","7.86","21.328"
"394","7.88","21.329"
"395","7.90","21.330"
"396","7.92","21.328"
"397","7.94","21.326"
"398","7.96","21.339"
"399","7.98","21.330"
"400","8.00","21.351"
"401","8.02","21.352"
"402","8.04","21.361"
"403","8.06","21.351"
"404","8.08","21.347"
"405","8.10","21.350"
"406","8.12","21.347"
"407","8.14","21.344"
"408","8.16","21.341"
"409","8.18","21.335"
"410","8.20","21.324"
"411","8.22","21.322"
"412","8.24","21.313"
"413","8.26","21.326"
"414","8.28","21.325"
"415","8.30","21.336"
"416","8.32","21.338"
"417","8.34","21.339"
"418","8.36","21.349"
"419","8.38","21.353"
"420","8.40","21.346"
"421","8.42","21.349"
"422","8.44","21.338"
"423","8.46","21.338"
"424","8.48","21.328"
"425","8.50","21.336"
"426","8.52","21.319"
"427","8.54","21.312"
"428","8.56","21.314"
"429","8.58","21.311"
"430","8.60","21.321"
"431","8.62","21.323"
"432","8.64","21.330"
"433","8.66","21.330"
"434","8.68","21.329"
"435","8.70","21.347"
"436","8.72","21.342"
"437","8.74","21.353"
"438","8.76","21.348"
"439","8.78","21.335"
"440","8.80","21.339"
"441","8.82","21.332"
"442","8.84","21.332"
"443","8.86","21.314"
"444","8.88","21.316"
"445","8.90","21.318"
"446","8.92","21.315"
"447","8.94","21.316"
"448","8.96","21.317"
"449","8.98","21.323"
"450","9.00","21.334"
"451","9.02","21.337"
"452","9.04","21.338"
"453","9.06","21.346"
"454","9.08","21.341"
"455","9.10","21.335"
"456","9.12","21.327"
"457","9.14","21.325"
"458","9.16","21.326"
"459","9.18","21.323"
"460","9.20","21.319"
"461","9.22","21.314"
"462","9.24","21.310"
"463","9.26","21.313"
"464","9.28","21.325"
"465","9.30","21.318"
"466","9.32","21.328"
"467","9.34","21.341"
"468","9.36","21.332"
"469","9.38","21.342"
"470","9.40","21.339"
"471","9.42","21.339"
"472","9.44","21.339"
"473","9.46","21.334"
"474","9.48","21.324"
"475","9.50","21.318"
"476","9.52","21.314"
"477","9.54","21.311"
"478","9.56","21.313"
