Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 3439
Start Time: 2/1/2023 2:41:18.222 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.249
1,0.001,0.252
2,0.002,0.251
3,0.003,0.251
4,0.004,0.249
5,0.005,0.250
6,0.006,0.250
7,0.007,0.251
8,0.008,0.249
9,0.009,0.250
10,0.010,0.250
11,0.011,0.251
12,0.012,0.250
13,0.013,0.251
14,0.014,0.249
15,0.015,0.252
16,0.016,0.251
17,0.017,0.250
18,0.018,0.249
19,0.019,0.249
20,0.020,0.249
21,0.021,0.250
22,0.022,0.249
23,0.023,0.250
24,0.024,0.249
25,0.025,0.250
26,0.026,0.251
27,0.027,0.251
28,0.028,0.250
29,0.029,0.250
30,0.030,0.251
31,0.031,0.249
32,0.032,0.250
33,0.033,0.250
34,0.034,0.251
35,0.035,0.251
36,0.036,0.250
37,0.037,0.251
38,0.038,0.249
39,0.039,0.251
40,0.040,0.250
41,0.041,0.252
42,0.042,0.251
43,0.043,0.248
44,0.044,0.252
45,0.045,0.252
46,0.046,0.250
47,0.047,0.251
48,0.048,0.250
49,0.049,0.250
50,0.050,0.249
51,0.051,0.249
52,0.052,0.249
53,0.053,0.250
54,0.054,0.250
55,0.055,0.251
56,0.056,0.249
57,0.057,0.250
58,0.058,0.250
59,0.059,0.250
60,0.060,0.250
61,0.061,0.250
62,0.062,0.250
63,0.063,0.251
64,0.064,0.250
65,0.065,0.249
66,0.066,0.249
67,0.067,0.250
68,0.068,0.249
69,0.069,0.250
70,0.070,0.250
71,0.071,0.249
72,0.072,0.249
73,0.073,0.249
74,0.074,0.250
75,0.075,0.249
76,0.076,0.249
77,0.077,0.249
78,0.078,0.249
79,0.079,0.251
80,0.080,0.248
81,0.081,0.250
82,0.082,0.248
83,0.083,0.250
84,0.084,0.250
85,0.085,0.249
86,0.086,0.250
87,0.087,0.250
88,0.088,0.250
89,0.089,0.250
90,0.090,0.251
91,0.091,0.249
92,0.092,0.251
93,0.093,0.250
94,0.094,0.250
95,0.095,0.250
96,0.096,0.249
97,0.097,0.252
98,0.098,0.249
99,0.099,0.251
100,0.100,0.251
101,0.101,0.250
102,0.102,0.250
103,0.103,0.250
104,0.104,0.249
105,0.105,0.251
106,0.106,0.249
107,0.107,0.250
108,0.108,0.250
109,0.109,0.250
110,0.110,0.251
111,0.111,0.249
112,0.112,0.250
113,0.113,0.248
114,0.114,0.251
115,0.115,0.249
116,0.116,0.250
117,0.117,0.249
118,0.118,0.249
119,0.119,0.250
120,0.120,0.249
121,0.121,0.249
122,0.122,0.249
123,0.123,0.250
124,0.124,0.249
125,0.125,0.251
126,0.126,0.248
127,0.127,0.250
128,0.128,0.248
129,0.129,0.250
130,0.130,0.249
131,0.131,0.250
132,0.132,0.249
133,0.133,0.249
134,0.134,0.250
135,0.135,0.249
136,0.136,0.250
137,0.137,0.250
138,0.138,0.250
139,0.139,0.250
140,0.140,0.249
141,0.141,0.249
142,0.142,0.250
143,0.143,0.250
144,0.144,0.251
145,0.145,0.249
146,0.146,0.251
147,0.147,0.248
148,0.148,0.250
149,0.149,0.249
150,0.150,0.250
151,0.151,0.249
152,0.152,0.249
153,0.153,0.250
154,0.154,0.249
155,0.155,0.250
156,0.156,0.250
157,0.157,0.251
158,0.158,0.250
159,0.159,0.250
160,0.160,0.249
161,0.161,0.249
162,0.162,0.250
163,0.163,0.251
164,0.164,0.249
165,0.165,0.251
166,0.166,0.249
167,0.167,0.249
168,0.168,0.251
169,0.169,0.250
170,0.170,0.250
171,0.171,0.251
172,0.172,0.249
173,0.173,0.249
174,0.174,0.250
175,0.175,0.249
176,0.176,0.250
177,0.177,0.250
178,0.178,0.251
179,0.179,0.250
180,0.180,0.250
181,0.181,0.251
182,0.182,0.249
183,0.183,0.249
184,0.184,0.250
185,0.185,0.249
186,0.186,0.249
187,0.187,0.248
188,0.188,0.250
189,0.189,0.249
190,0.190,0.249
191,0.191,0.250
192,0.192,0.251
193,0.193,0.248
194,0.194,0.249
195,0.195,0.250
196,0.196,0.249
197,0.197,0.249
198,0.198,0.250
199,0.199,0.249
200,0.200,0.251
201,0.201,0.248
202,0.202,0.251
203,0.203,0.250
204,0.204,0.250
205,0.205,0.251
206,0.206,0.249
207,0.207,0.250
208,0.208,0.249
209,0.209,0.250
210,0.210,0.249
211,0.211,0.248
212,0.212,0.251
213,0.213,0.251
214,0.214,0.249
215,0.215,0.251
216,0.216,0.250
217,0.217,0.250
218,0.218,0.251
219,0.219,0.249
220,0.220,0.251
221,0.221,0.250
222,0.222,0.250
223,0.223,0.251
224,0.224,0.250
225,0.225,0.250
226,0.226,0.250
227,0.227,0.251
228,0.228,0.250
229,0.229,0.251
230,0.230,0.250
231,0.231,0.250
232,0.232,0.251
233,0.233,0.249
234,0.234,0.249
235,0.235,0.250
236,0.236,0.250
237,0.237,0.251
