Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 4095
Start Time: 2/1/2023 2:40:59.556 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.252
1,0.001,0.252
2,0.002,0.252
3,0.003,0.252
4,0.004,0.252
5,0.005,0.250
6,0.006,0.253
7,0.007,0.252
8,0.008,0.251
9,0.009,0.251
10,0.010,0.253
11,0.011,0.251
12,0.012,0.253
13,0.013,0.253
14,0.014,0.252
15,0.015,0.252
16,0.016,0.251
17,0.017,0.251
18,0.018,0.251
19,0.019,0.252
20,0.020,0.250
21,0.021,0.252
22,0.022,0.250
23,0.023,0.251
24,0.024,0.252
25,0.025,0.252
26,0.026,0.252
27,0.027,0.253
28,0.028,0.252
29,0.029,0.251
30,0.030,0.252
31,0.031,0.253
32,0.032,0.253
33,0.033,0.250
34,0.034,0.251
35,0.035,0.249
36,0.036,0.251
37,0.037,0.251
38,0.038,0.253
39,0.039,0.252
40,0.040,0.252
41,0.041,0.251
42,0.042,0.253
43,0.043,0.251
44,0.044,0.254
45,0.045,0.253
46,0.046,0.251
47,0.047,0.253
48,0.048,0.252
49,0.049,0.253
50,0.050,0.251
51,0.051,0.253
52,0.052,0.251
53,0.053,0.251
54,0.054,0.252
55,0.055,0.252
56,0.056,0.253
57,0.057,0.253
58,0.058,0.251
59,0.059,0.251
60,0.060,0.252
61,0.061,0.253
62,0.062,0.250
63,0.063,0.251
64,0.064,0.252
65,0.065,0.253
66,0.066,0.252
67,0.067,0.251
68,0.068,0.252
69,0.069,0.252
70,0.070,0.252
71,0.071,0.252
72,0.072,0.250
73,0.073,0.252
74,0.074,0.253
75,0.075,0.252
76,0.076,0.252
77,0.077,0.251
78,0.078,0.254
79,0.079,0.253
80,0.080,0.252
81,0.081,0.253
82,0.082,0.251
83,0.083,0.250
84,0.084,0.253
85,0.085,0.251
86,0.086,0.252
87,0.087,0.251
88,0.088,0.252
89,0.089,0.251
90,0.090,0.253
91,0.091,0.253
92,0.092,0.253
93,0.093,0.252
94,0.094,0.253
95,0.095,0.251
96,0.096,0.252
97,0.097,0.253
98,0.098,0.250
99,0.099,0.252
100,0.100,0.252
101,0.101,0.250
102,0.102,0.252
103,0.103,0.251
104,0.104,0.250
105,0.105,0.252
106,0.106,0.251
107,0.107,0.251
108,0.108,0.252
109,0.109,0.252
110,0.110,0.251
111,0.111,0.252
112,0.112,0.251
113,0.113,0.252
114,0.114,0.252
115,0.115,0.251
116,0.116,0.252
117,0.117,0.252
118,0.118,0.252
119,0.119,0.252
120,0.120,0.251
121,0.121,0.253
122,0.122,0.250
123,0.123,0.252
124,0.124,0.250
125,0.125,0.251
126,0.126,0.252
127,0.127,0.251
128,0.128,0.252
129,0.129,0.253
130,0.130,0.252
131,0.131,0.250
132,0.132,0.252
133,0.133,0.251
134,0.134,0.252
135,0.135,0.252
136,0.136,0.251
137,0.137,0.250
138,0.138,0.252
139,0.139,0.253
140,0.140,0.253
141,0.141,0.253
142,0.142,0.252
143,0.143,0.251
144,0.144,0.252
145,0.145,0.252
146,0.146,0.251
147,0.147,0.251
148,0.148,0.253
149,0.149,0.253
150,0.150,0.252
151,0.151,0.252
152,0.152,0.252
153,0.153,0.252
154,0.154,0.250
155,0.155,0.252
156,0.156,0.251
157,0.157,0.251
158,0.158,0.252
159,0.159,0.253
160,0.160,0.252
161,0.161,0.252
162,0.162,0.252
163,0.163,0.252
164,0.164,0.252
165,0.165,0.252
166,0.166,0.251
167,0.167,0.250
168,0.168,0.252
169,0.169,0.251
170,0.170,0.252
171,0.171,0.250
172,0.172,0.252
173,0.173,0.251
174,0.174,0.251
175,0.175,0.254
176,0.176,0.252
177,0.177,0.252
178,0.178,0.251
179,0.179,0.251
180,0.180,0.252
181,0.181,0.252
182,0.182,0.252
183,0.183,0.253
184,0.184,0.251
185,0.185,0.250
186,0.186,0.252
187,0.187,0.252
188,0.188,0.251
189,0.189,0.251
190,0.190,0.251
191,0.191,0.253
192,0.192,0.252
193,0.193,0.251
194,0.194,0.251
195,0.195,0.252
196,0.196,0.251
197,0.197,0.253
198,0.198,0.252
199,0.199,0.252
200,0.200,0.251
201,0.201,0.250
202,0.202,0.251
203,0.203,0.251
204,0.204,0.251
205,0.205,0.252
206,0.206,0.252
207,0.207,0.251
208,0.208,0.251
209,0.209,0.250
210,0.210,0.254
211,0.211,0.252
212,0.212,0.253
213,0.213,0.252
214,0.214,0.252
215,0.215,0.252
216,0.216,0.252
217,0.217,0.251
218,0.218,0.251
219,0.219,0.250
220,0.220,0.251
221,0.221,0.250
222,0.222,0.251
223,0.223,0.252
224,0.224,0.252
225,0.225,0.252
226,0.226,0.252
227,0.227,0.252
228,0.228,0.252
229,0.229,0.252
230,0.230,0.250
231,0.231,0.252
232,0.232,0.251
233,0.233,0.252
234,0.234,0.250
235,0.235,0.251
236,0.236,0.251
237,0.237,0.251
238,0.238,0.252
239,0.239,0.250
240,0.240,0.250
241,0.241,0.250
242,0.242,0.252
243,0.243,0.252
244,0.244,0.252
245,0.245,0.251
246,0.246,0.252
247,0.247,0.252
248,0.248,0.251
249,0.249,0.252
250,0.250,0.252
251,0.251,0.253
252,0.252,0.251
253,0.253,0.253
254,0.254,0.250
255,0.255,0.251
256,0.256,0.251
257,0.257,0.252
258,0.258,0.252
259,0.259,0.252
260,0.260,0.253
261,0.261,0.253
262,0.262,0.252
263,0.263,0.250
264,0.264,0.252
265,0.265,0.252
266,0.266,0.251
267,0.267,0.251
268,0.268,0.253
269,0.269,0.251
270,0.270,0.251
271,0.271,0.250
272,0.272,0.251
273,0.273,0.253
274,0.274,0.251
275,0.275,0.252
276,0.276,0.250
277,0.277,0.252
278,0.278,0.252
279,0.279,0.252
280,0.280,0.252
281,0.281,0.252
282,0.282,0.251
283,0.283,0.251
284,0.284,0.253
285,0.285,0.252
286,0.286,0.251
287,0.287,0.252
288,0.288,0.252
289,0.289,0.252
290,0.290,0.251
291,0.291,0.251
292,0.292,0.251
293,0.293,0.251
294,0.294,0.250
295,0.295,0.253
296,0.296,0.252
297,0.297,0.251
298,0.298,0.250
299,0.299,0.251
300,0.300,0.251
301,0.301,0.250
302,0.302,0.250
303,0.303,0.252
304,0.304,0.250
305,0.305,0.252
306,0.306,0.250
307,0.307,0.252
308,0.308,0.251
309,0.309,0.251
310,0.310,0.252
311,0.311,0.250
312,0.312,0.251
313,0.313,0.251
314,0.314,0.251
315,0.315,0.251
316,0.316,0.252
317,0.317,0.253
318,0.318,0.252
319,0.319,0.252
320,0.320,0.253
321,0.321,0.251
322,0.322,0.251
323,0.323,0.251
324,0.324,0.252
325,0.325,0.253
326,0.326,0.251
327,0.327,0.252
328,0.328,0.251
329,0.329,0.251
330,0.330,0.251
331,0.331,0.251
332,0.332,0.250
333,0.333,0.251
334,0.334,0.251
335,0.335,0.252
