Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 788
Start Time: 1/25/2023 2:31:01.94 PM
Scan Rate: 50
Sample,Time (s),CH1 (°C)
0,0.00,18.014
1,0.02,18.041
2,0.04,18.036
3,0.06,18.025
4,0.08,18.019
5,0.10,18.043
6,0.12,18.025
7,0.14,18.026
8,0.16,18.030
9,0.18,18.032
10,0.20,18.024
11,0.22,18.016
12,0.24,18.023
13,0.26,18.023
14,0.28,18.018
15,0.30,18.014
16,0.32,18.020
17,0.34,18.021
18,0.36,18.026
19,0.38,18.024
20,0.40,18.040
21,0.42,18.032
22,0.44,18.041
23,0.46,18.042
24,0.48,18.037
25,0.50,18.044
26,0.52,18.049
27,0.54,18.043
28,0.56,18.053
29,0.58,18.059
30,0.60,18.053
31,0.62,18.055
32,0.64,18.064
33,0.66,18.069
34,0.68,18.064
35,0.70,18.064
36,0.72,18.069
37,0.74,18.070
38,0.76,18.075
39,0.78,18.072
40,0.80,18.077
41,0.82,18.061
42,0.84,18.062
43,0.86,18.065
44,0.88,18.072
45,0.90,18.064
46,0.92,18.062
47,0.94,18.062
48,0.96,18.067
49,0.98,18.074
50,1.00,18.077
51,1.02,18.066
52,1.04,18.075
53,1.06,18.075
54,1.08,18.089
55,1.10,18.087
56,1.12,18.084
57,1.14,18.089
58,1.16,18.077
59,1.18,18.090
60,1.20,18.091
61,1.22,18.083
62,1.24,18.084
63,1.26,18.075
64,1.28,18.085
65,1.30,18.080
66,1.32,18.090
67,1.34,18.083
68,1.36,18.084
69,1.38,18.086
70,1.40,18.097
71,1.42,18.101
72,1.44,18.092
73,1.46,18.103
74,1.48,18.098
75,1.50,18.098
76,1.52,18.095
77,1.54,18.104
78,1.56,18.086
79,1.58,18.092
80,1.60,18.084
81,1.62,18.089
82,1.64,18.087
83,1.66,18.080
84,1.68,18.094
85,1.70,18.099
86,1.72,18.098
87,1.74,18.098
88,1.76,18.092
89,1.78,18.097
90,1.80,18.098
91,1.82,18.091
92,1.84,18.097
93,1.86,18.099
94,1.88,18.099
95,1.90,18.087
96,1.92,18.092
97,1.94,18.087
98,1.96,18.086
99,1.98,18.088
100,2.00,18.094
101,2.02,18.103
102,2.04,18.091
103,2.06,18.107
104,2.08,18.108
105,2.10,18.111
106,2.12,18.104
107,2.14,17.995
108,2.16,18.057
109,2.18,18.111
110,2.20,18.109
111,2.22,18.118
112,2.24,18.120
113,2.26,18.123
114,2.28,18.129
115,2.30,18.128
116,2.32,18.124
117,2.34,18.123
118,2.36,18.133
119,2.38,18.122
120,2.40,18.131
121,2.42,18.131
122,2.44,18.124
123,2.46,18.127
124,2.48,18.129
125,2.50,18.134
126,2.52,18.129
127,2.54,18.120
128,2.56,18.125
129,2.58,18.110
130,2.60,18.120
131,2.62,18.115
132,2.64,18.115
133,2.66,18.121
134,2.68,18.113
135,2.70,18.113
136,2.72,18.108
137,2.74,18.111
138,2.76,18.112
139,2.78,18.122
140,2.80,18.118
141,2.82,18.125
