Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 192
Start Time: 1/25/2023 2:25:03.4 PM
Scan Rate: 10
Sample,Time (s),CH1 (°C)
0,0.0,17.855
1,0.1,17.855
2,0.2,17.869
3,0.3,17.869
4,0.4,17.893
5,0.5,17.877
6,0.6,17.879
7,0.7,17.914
8,0.8,17.876
9,0.9,17.891
10,1.0,17.911
11,1.1,17.892
12,1.2,17.895
13,1.3,17.898
14,1.4,17.908
15,1.5,17.899
16,1.6,17.915
17,1.7,17.914
18,1.8,17.933
19,1.9,17.937
20,2.0,17.926
21,2.1,17.928
22,2.2,17.931
23,2.3,17.923
24,2.4,17.933
25,2.5,17.937
26,2.6,17.923
27,2.7,17.918
28,2.8,17.932
29,2.9,17.945
30,3.0,17.934
31,3.1,17.914
32,3.2,17.944
33,3.3,17.942
34,3.4,17.932
35,3.5,17.938
36,3.6,17.939
37,3.7,17.914
38,3.8,17.950
39,3.9,17.945
40,4.0,17.952
41,4.1,17.929
42,4.2,17.948
43,4.3,17.936
44,4.4,17.931
45,4.5,17.928
46,4.6,17.929
47,4.7,17.931
48,4.8,17.932
49,4.9,17.926
50,5.0,17.925
51,5.1,17.930
52,5.2,17.928
53,5.3,17.934
54,5.4,17.931
55,5.5,17.923
56,5.6,17.916
57,5.7,17.930
58,5.8,17.920
59,5.9,17.925
60,6.0,17.917
61,6.1,17.907
62,6.2,17.923
63,6.3,17.935
64,6.4,17.957
65,6.5,17.984
66,6.6,7.440
67,6.7,0.535
68,6.8,0.562
69,6.9,1.850
70,7.0,2.036
71,7.1,2.164
72,7.2,2.226
73,7.3,2.252
74,7.4,2.120
75,7.5,1.894
76,7.6,1.751
77,7.7,1.611
78,7.8,1.489
79,7.9,1.362
80,8.0,1.248
81,8.1,1.167
82,8.2,1.096
83,8.3,1.054
84,8.4,1.010
85,8.5,0.975
86,8.6,0.954
87,8.7,0.933
88,8.8,0.933
89,8.9,0.926
90,9.0,0.900
91,9.1,0.898
92,9.2,0.906
93,9.3,0.890
94,9.4,0.896
95,9.5,0.888
96,9.6,0.912
97,9.7,0.905
98,9.8,0.917
99,9.9,0.923
100,10.0,0.935
101,10.1,0.934
102,10.2,0.982
103,10.3,0.980
104,10.4,0.996
105,10.5,1.021
106,10.6,1.034
107,10.7,1.047
108,10.8,1.070
109,10.9,1.076
110,11.0,1.093
111,11.1,1.097
112,11.2,1.128
113,11.3,1.120
114,11.4,1.146
115,11.5,1.079
116,11.6,0.818
117,11.7,0.713
118,11.8,0.959
119,11.9,1.393
120,12.0,1.234
121,12.1,1.133
122,12.2,1.293
123,12.3,1.264
124,12.4,1.285
125,12.5,1.276
126,12.6,1.288
127,12.7,1.300
128,12.8,1.303
129,12.9,1.313
130,13.0,1.330
131,13.1,1.331
132,13.2,1.342
133,13.3,1.342
134,13.4,1.356
135,13.5,1.349
136,13.6,1.362
137,13.7,1.363
138,13.8,1.373
139,13.9,1.379
140,14.0,1.369
141,14.1,1.344
142,14.2,1.364
143,14.3,1.405
144,14.4,1.525
145,14.5,1.529
146,14.6,1.537
147,14.7,1.539
148,14.8,1.586
149,14.9,1.596
150,15.0,1.616
151,15.1,1.612
152,15.2,1.623
153,15.3,1.625
154,15.4,1.631
155,15.5,1.630
156,15.6,1.636
157,15.7,1.644
158,15.8,1.634
159,15.9,1.648
160,16.0,1.651
161,16.1,1.642
162,16.2,1.656
163,16.3,1.649
164,16.4,1.658
165,16.5,1.665
166,16.6,1.658
167,16.7,1.661
168,16.8,1.661
169,16.9,1.671
170,17.0,1.672
171,17.1,1.671
172,17.2,1.666
173,17.3,1.670
174,17.4,1.664
175,17.5,1.675
176,17.6,1.670
177,17.7,1.668
178,17.8,1.670
179,17.9,1.667
180,18.0,1.662
181,18.1,1.673
182,18.2,1.682
183,18.3,1.679
184,18.4,1.685
185,18.5,1.681
186,18.6,1.675
187,18.7,1.678
188,18.8,1.672
189,18.9,1.683
190,19.0,1.687
191,19.1,1.690
