Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 3551
Start Time: 2/1/2023 2:51:44.097 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,1.173
1,0.001,1.172
2,0.002,1.173
3,0.003,1.171
4,0.004,1.173
5,0.005,1.173
6,0.006,1.171
7,0.007,1.171
8,0.008,1.171
9,0.009,1.173
10,0.010,1.171
11,0.011,1.174
12,0.012,1.171
13,0.013,1.172
14,0.014,1.171
15,0.015,1.172
16,0.016,1.171
17,0.017,1.171
18,0.018,1.172
19,0.019,1.171
20,0.020,1.170
21,0.021,1.171
22,0.022,1.172
23,0.023,1.170
24,0.024,1.172
25,0.025,1.173
26,0.026,1.172
27,0.027,1.171
28,0.028,1.174
29,0.029,1.172
30,0.030,1.172
31,0.031,1.173
32,0.032,1.172
33,0.033,1.174
34,0.034,1.172
35,0.035,1.173
36,0.036,1.172
37,0.037,1.172
38,0.038,1.175
39,0.039,1.173
40,0.040,1.173
41,0.041,1.173
42,0.042,1.173
43,0.043,1.173
44,0.044,1.172
45,0.045,1.173
46,0.046,1.172
47,0.047,1.172
48,0.048,1.171
49,0.049,1.170
50,0.050,1.172
51,0.051,1.170
52,0.052,1.172
53,0.053,1.171
54,0.054,1.172
55,0.055,1.170
56,0.056,1.171
57,0.057,1.171
58,0.058,1.171
59,0.059,1.170
60,0.060,1.170
61,0.061,1.170
62,0.062,1.169
63,0.063,1.171
64,0.064,1.169
65,0.065,1.168
66,0.066,1.170
67,0.067,1.171
68,0.068,1.170
69,0.069,1.169
70,0.070,1.168
71,0.071,1.169
72,0.072,1.169
73,0.073,1.168
74,0.074,1.168
75,0.075,1.169
76,0.076,1.168
77,0.077,1.169
78,0.078,1.170
79,0.079,1.168
80,0.080,1.170
81,0.081,1.170
82,0.082,1.171
83,0.083,1.170
84,0.084,1.170
85,0.085,1.170
86,0.086,1.169
87,0.087,1.170
88,0.088,1.171
89,0.089,1.172
90,0.090,1.172
91,0.091,1.172
92,0.092,1.170
93,0.093,1.171
94,0.094,1.170
95,0.095,1.172
96,0.096,1.171
97,0.097,1.170
98,0.098,1.170
99,0.099,1.169
100,0.100,1.170
101,0.101,1.171
102,0.102,1.170
103,0.103,1.171
104,0.104,1.170
105,0.105,1.170
106,0.106,1.170
107,0.107,1.170
108,0.108,1.171
109,0.109,1.170
110,0.110,1.169
111,0.111,1.171
112,0.112,1.171
113,0.113,1.171
114,0.114,1.171
115,0.115,1.170
116,0.116,1.171
117,0.117,1.170
118,0.118,1.171
119,0.119,1.172
120,0.120,1.171
121,0.121,1.173
122,0.122,1.173
123,0.123,1.175
124,0.124,1.173
125,0.125,1.173
126,0.126,1.172
127,0.127,1.172
128,0.128,1.173
129,0.129,1.171
130,0.130,1.174
131,0.131,1.172
132,0.132,1.174
133,0.133,1.173
134,0.134,1.173
135,0.135,1.174
136,0.136,1.172
137,0.137,1.173
138,0.138,1.173
139,0.139,1.173
140,0.140,1.173
141,0.141,1.171
142,0.142,1.173
143,0.143,1.171
144,0.144,1.172
145,0.145,1.172
146,0.146,1.172
147,0.147,1.172
148,0.148,1.171
149,0.149,1.171
150,0.150,1.172
151,0.151,1.170
152,0.152,1.170
153,0.153,1.170
154,0.154,1.169
155,0.155,1.169
156,0.156,1.169
157,0.157,1.171
158,0.158,1.172
159,0.159,1.171
160,0.160,1.172
161,0.161,1.170
162,0.162,1.169
163,0.163,1.170
164,0.164,1.169
165,0.165,1.170
166,0.166,1.169
167,0.167,1.169
168,0.168,1.170
169,0.169,1.168
170,0.170,1.168
171,0.171,1.169
172,0.172,1.169
173,0.173,1.169
174,0.174,1.168
175,0.175,1.171
176,0.176,1.170
177,0.177,1.169
178,0.178,1.170
179,0.179,1.171
180,0.180,1.170
181,0.181,1.169
182,0.182,1.169
183,0.183,1.169
184,0.184,1.170
185,0.185,1.170
186,0.186,1.170
187,0.187,1.172
188,0.188,1.171
189,0.189,1.171
190,0.190,1.170
191,0.191,1.171
192,0.192,1.169
193,0.193,1.171
194,0.194,1.168
195,0.195,1.169
196,0.196,1.169
197,0.197,1.170
198,0.198,1.170
199,0.199,1.170
200,0.200,1.169
201,0.201,1.170
202,0.202,1.169
203,0.203,1.169
204,0.204,1.167
205,0.205,1.169
206,0.206,1.169
207,0.207,1.169
208,0.208,1.169
209,0.209,1.170
210,0.210,1.169
211,0.211,1.170
212,0.212,1.169
213,0.213,1.169
214,0.214,1.169
215,0.215,1.169
216,0.216,1.169
217,0.217,1.170
218,0.218,1.171
219,0.219,1.169
220,0.220,1.170
221,0.221,1.169
222,0.222,1.169
223,0.223,1.171
224,0.224,1.169
225,0.225,1.169
226,0.226,1.168
227,0.227,1.170
228,0.228,1.169
229,0.229,1.171
230,0.230,1.167
231,0.231,1.169
232,0.232,1.170
233,0.233,1.170
234,0.234,1.170
235,0.235,1.168
