Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 512
Start Time: 1/18/2023 3:32:16.8 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,-1009.870
1,0.1,-1010.280
2,0.2,-1010.671
3,0.3,-1011.798
4,0.4,-1011.863
5,0.5,-1012.459
6,0.6,-1013.093
7,0.7,-1013.298
8,0.8,-1014.043
9,0.9,-1014.285
10,1.0,-1014.676
11,1.1,-1014.899
12,1.2,-1015.430
13,1.3,-1015.915
14,1.4,-1015.561
15,1.5,-1016.427
16,1.6,-1016.390
17,1.7,-1016.557
18,1.8,-1017.218
19,1.9,-1017.088
20,2.0,-1017.116
21,2.1,-1017.582
22,2.2,-1017.824
23,2.3,-1017.703
24,2.4,-1017.945
25,2.5,-1018.187
26,2.6,-1018.131
27,2.7,-1018.578
28,2.8,-1018.811
29,2.9,-1018.709
30,3.0,-1018.848
31,3.1,-1018.792
32,3.2,-1019.463
33,3.3,-1019.267
34,3.4,-1019.128
35,3.5,-1019.379
36,3.6,-1019.882
37,3.7,-1019.584
38,3.8,-1019.659
39,3.9,-1019.957
40,4.0,-1020.236
41,4.1,-1020.357
42,4.2,-1020.515
43,4.3,-1020.273
44,4.4,-1020.888
45,4.5,-1020.944
46,4.6,-1021.195
47,4.7,-1021.167
48,4.8,-1021.270
49,4.9,-1021.372
50,5.0,-1021.167
51,5.1,-1021.288
52,5.2,-1021.521
53,5.3,-1021.829
54,5.4,-1021.707
55,5.5,-1021.475
56,5.6,-1021.540
57,5.7,-1021.791
58,5.8,-1021.773
59,5.9,-1021.801
60,6.0,-1021.856
61,6.1,-1021.996
62,6.2,-1022.015
63,6.3,-1021.940
64,6.4,-1022.192
65,6.5,-1022.024
66,6.6,-1022.089
67,6.7,-1022.462
68,6.8,-1022.108
69,6.9,-1021.959
70,7.0,-1022.024
71,7.1,-1022.154
72,7.2,-1021.838
73,7.3,-1021.838
74,7.4,-1021.931
75,7.5,-1021.912
76,7.6,-1021.698
77,7.7,-1021.475
78,7.8,-1021.894
79,7.9,-1021.829
80,8.0,-1022.033
81,8.1,-1021.987
82,8.2,-1021.670
83,8.3,-1021.875
84,8.4,-1021.698
85,8.5,-1022.220
86,8.6,-1021.707
87,8.7,-1021.791
88,8.8,-1022.080
89,8.9,-1021.652
90,9.0,-1021.754
91,9.1,-1021.670
92,9.2,-1021.614
93,9.3,-1021.270
94,9.4,-1021.223
95,9.5,-1021.540
96,9.6,-1020.711
97,9.7,-1020.888
98,9.8,-1021.093
99,9.9,-1020.813
100,10.0,-1020.711
101,10.1,-1020.636
102,10.2,-1020.338
103,10.3,-1020.543
104,10.4,-1020.497
105,10.5,-1019.901
106,10.6,-1019.631
107,10.7,-1018.923
108,10.8,-1018.634
109,10.9,-1018.587
110,11.0,-1018.168
111,11.1,-1018.140
112,11.2,-1017.703
113,11.3,-1017.675
114,11.4,-1017.433
115,11.5,-1017.470
116,11.6,-1017.191
117,11.7,-1016.799
118,11.8,-1016.725
119,11.9,-1016.576
120,12.0,-1016.706
121,12.1,-1016.408
122,12.2,-1016.501
123,12.3,-1016.175
124,12.4,-1015.887
125,12.5,-1015.784
126,12.6,-1015.617
127,12.7,-1015.421
128,12.8,-1015.458
129,12.9,-1015.319
130,13.0,-1015.570
131,13.1,-1015.319
132,13.2,-1015.430
133,13.3,-1014.927
134,13.4,-1014.927
135,13.5,-1015.021
136,13.6,-1015.328
137,13.7,-1015.021
138,13.8,-1014.853
139,13.9,-1014.760
140,14.0,-1014.713
141,14.1,-1014.424
142,14.2,-1014.266
143,14.3,-1014.499
144,14.4,-1014.508
145,14.5,-1014.164
146,14.6,-1014.257
147,14.7,-1014.620
148,14.8,-1014.508
149,14.9,-1014.201
150,15.0,-1014.154
151,15.1,-1014.387
152,15.2,-1014.797
153,15.3,-1014.676
154,15.4,-1014.611
155,15.5,-1015.142
156,15.6,-1015.496
157,15.7,-1015.915
158,15.8,-1015.756
159,15.9,-1016.445
160,16.0,-1016.408
161,16.1,-1015.598
162,16.2,-1015.719
163,16.3,-1015.570
164,16.4,-1015.430
165,16.5,-1015.924
166,16.6,-1015.970
167,16.7,-1016.194
168,16.8,-1016.036
169,16.9,-1015.998
170,17.0,-1015.272
171,17.1,-1014.695
172,17.2,-1014.126
173,17.3,-1013.149
174,17.4,-1013.093
175,17.5,-1013.167
176,17.6,-1012.394
177,17.7,-1012.199
178,17.8,-1011.705
179,17.9,-1011.882
180,18.0,-1011.752
181,18.1,-1011.463
182,18.2,-1011.044
183,18.3,-1011.053
184,18.4,-1010.969
185,18.5,-1010.373
186,18.6,-1010.112
187,18.7,-1009.898
