Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 508
Start Time: 1/18/2023 3:30:54.3 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
258,25.8,-1019.053
259,25.9,-1018.858
260,26.0,-1018.997
261,26.1,-1019.165
262,26.2,-1019.081
263,26.3,-1018.988
264,26.4,-1018.997
265,26.5,-1018.932
266,26.6,-1018.969
267,26.7,-1018.820
268,26.8,-1018.671
269,26.9,-1018.653
270,27.0,-1018.923
271,27.1,-1018.886
272,27.2,-1018.494
273,27.3,-1019.044
274,27.4,-1019.062
275,27.5,-1018.895
276,27.6,-1018.848
277,27.7,-1019.044
278,27.8,-1018.988
279,27.9,-1018.979
280,28.0,-1018.317
281,28.1,-1019.118
282,28.2,-1019.202
283,28.3,-1018.979
284,28.4,-1019.202
285,28.5,-1019.668
286,28.6,-1019.603
287,28.7,-1018.904
288,28.8,-1019.370
289,28.9,-1019.286
290,29.0,-1019.109
291,29.1,-1019.370
292,29.2,-1019.146
293,29.3,-1019.426
294,29.4,-1019.575
295,29.5,-1019.491
296,29.6,-1019.211
297,29.7,-1019.444
298,29.8,-1019.705
299,29.9,-1019.659
300,30.0,-1019.761
301,30.1,-1019.826
302,30.2,-1019.305
303,30.3,-1019.919
304,30.4,-1019.631
305,30.5,-1019.882
306,30.6,-1019.826
307,30.7,-1019.519
308,30.8,-1019.938
309,30.9,-1019.482
310,31.0,-1019.724
311,31.1,-1019.733
312,31.2,-1019.845
313,31.3,-1019.863
314,31.4,-1020.133
315,31.5,-1019.547
316,31.6,-1019.649
317,31.7,-1019.901
318,31.8,-1019.854
319,31.9,-1019.724
320,32.0,-1020.068
321,32.1,-1019.854
322,32.2,-1019.966
323,32.3,-1019.984
324,32.4,-1020.152
325,32.5,-1020.413
326,32.6,-1020.087
327,32.7,-1019.910
328,32.8,-1019.938
329,32.9,-1020.115
330,33.0,-1020.459
331,33.1,-1019.975
332,33.2,-1020.012
333,33.3,-1020.310
334,33.4,-1020.087
335,33.5,-1020.189
336,33.6,-1019.938
337,33.7,-1020.366
338,33.8,-1020.022
339,33.9,-1020.264
340,34.0,-1020.022
341,34.1,-1020.394
342,34.2,-1020.581
343,34.3,-1020.506
344,34.4,-1020.227
345,34.5,-1020.664
346,34.6,-1020.329
347,34.7,-1019.910
348,34.8,-1020.068
349,34.9,-1020.189
350,35.0,-1020.227
351,35.1,-1020.106
352,35.2,-1020.022
353,35.3,-1020.469
354,35.4,-1020.189
355,35.5,-1019.966
356,35.6,-1020.199
357,35.7,-1020.888
358,35.8,-1020.413
359,35.9,-1020.422
360,36.0,-1020.124
361,36.1,-1020.590
362,36.2,-1020.525
363,36.3,-1020.124
364,36.4,-1020.180
365,36.5,-1020.515
366,36.6,-1020.432
367,36.7,-1020.068
368,36.8,-1020.525
369,36.9,-1020.590
370,37.0,-1020.590
371,37.1,-1020.133
372,37.2,-1020.627
373,37.3,-1020.692
374,37.4,-1020.441
375,37.5,-1020.702
376,37.6,-1020.571
377,37.7,-1020.655
378,37.8,-1020.711
379,37.9,-1020.515
380,38.0,-1020.813
381,38.1,-1020.972
382,38.2,-1020.841
383,38.3,-1020.581
384,38.4,-1020.711
385,38.5,-1020.916
386,38.6,-1020.692
387,38.7,-1020.497
388,38.8,-1020.888
389,38.9,-1020.897
390,39.0,-1020.776
391,39.1,-1020.767
392,39.2,-1020.757
393,39.3,-1021.111
394,39.4,-1021.028
395,39.5,-1021.251
396,39.6,-1020.851
397,39.7,-1021.056
398,39.8,-1020.785
399,39.9,-1020.487
400,40.0,-1020.860
401,40.1,-1021.037
402,40.2,-1020.832
403,40.3,-1020.860
404,40.4,-1020.972
405,40.5,-1021.018
406,40.6,-1021.093
407,40.7,-1021.149
408,40.8,-1021.139
409,40.9,-1020.739
410,41.0,-1020.553
411,41.1,-1020.692
412,41.2,-1020.916
413,41.3,-1020.823
414,41.4,-1020.683
415,41.5,-1020.953
416,41.6,-1020.487
417,41.7,-1021.037
418,41.8,-1021.046
419,41.9,-1020.888
420,42.0,-1020.608
421,42.1,-1020.953
422,42.2,-1021.000
423,42.3,-1020.711
424,42.4,-1020.972
425,42.5,-1021.214
426,42.6,-1020.925
427,42.7,-1020.776
428,42.8,-1021.307
429,42.9,-1021.037
430,43.0,-1020.515
431,43.1,-1020.692
432,43.2,-1021.083
433,43.3,-1020.925
434,43.4,-1020.832
435,43.5,-1021.018
436,43.6,-1021.223
437,43.7,-1021.344
438,43.8,-1020.934
439,43.9,-1021.232
440,44.0,-1021.493
441,44.1,-1021.270
442,44.2,-1021.270
443,44.3,-1021.288
444,44.4,-1021.149
445,44.5,-1021.354
446,44.6,-1021.354
447,44.7,-1021.037
448,44.8,-1021.605
449,44.9,-1021.083
450,45.0,-1021.279
451,45.1,-1021.428
452,45.2,-1021.298
453,45.3,-1021.354
454,45.4,-1021.409
455,45.5,-1021.177
456,45.6,-1021.288
457,45.7,-1021.307
458,45.8,-1021.056
459,45.9,-1021.493
460,46.0,-1021.251
461,46.1,-1021.661
462,46.2,-1021.205
463,46.3,-1021.437
464,46.4,-1021.754
465,46.5,-1021.391
466,46.6,-1021.307
467,46.7,-1021.400
468,46.8,-1021.652
469,46.9,-1021.596
470,47.0,-1021.493
471,47.1,-1021.745
472,47.2,-1021.568
473,47.3,-1021.456
474,47.4,-1021.456
475,47.5,-1021.475
476,47.6,-1021.773
477,47.7,-1021.735
478,47.8,-1021.177
479,47.9,-1021.009
480,48.0,-1021.912
481,48.1,-1021.437
482,48.2,-1021.121
483,48.3,-1021.400
484,48.4,-1021.726
485,48.5,-1021.745
486,48.6,-1021.558
487,48.7,-1021.847
488,48.8,-1021.950
489,48.9,-1021.679
490,49.0,-1021.149
491,49.1,-1021.447
492,49.2,-1021.633
493,49.3,-1021.931
494,49.4,-1021.540
495,49.5,-1021.512
496,49.6,-1021.829
497,49.7,-1021.428
498,49.8,-1021.288
499,49.9,-1021.819
500,50.0,-1021.484
501,50.1,-1021.214
502,50.2,-1021.130
503,50.3,-1021.465
504,50.4,-1022.015
505,50.5,-1021.354
506,50.6,-1021.419
507,50.7,-1021.475
