Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 509
Start Time: 1/18/2023 3:44:47.4 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
258,25.8,-1004.888
259,25.9,-1003.779
260,26.0,-1003.575
261,26.1,-1005.195
262,26.2,-1007.151
263,26.3,-1009.060
264,26.4,-1011.770
265,26.5,-1013.437
266,26.6,-1015.197
267,26.7,-1016.641
268,26.8,-1017.312
269,26.9,-1018.764
270,27.0,-1021.447
271,27.1,-1022.806
272,27.2,-1023.300
273,27.3,-1024.054
274,27.4,-1024.604
275,27.5,-1023.998
276,27.6,-1023.989
277,27.7,-1023.291
278,27.8,-1022.629
279,27.9,-1021.838
280,28.0,-1021.558
281,28.1,-1021.205
282,28.2,-1020.823
283,28.3,-1020.366
284,28.4,-1020.757
285,28.5,-1020.916
286,28.6,-1019.510
287,28.7,-1018.336
288,28.8,-1018.299
289,28.9,-1017.991
290,29.0,-1017.991
291,29.1,-1017.302
292,29.2,-1017.228
293,29.3,-1016.697
294,29.4,-1016.976
295,29.5,-1016.529
296,29.6,-1016.539
297,29.7,-1016.967
298,29.8,-1017.349
299,29.9,-1017.479
300,30.0,-1017.340
301,30.1,-1017.721
302,30.2,-1017.815
303,30.3,-1018.373
304,30.4,-1018.709
305,30.5,-1018.634
306,30.6,-1019.398
307,30.7,-1019.360
308,30.8,-1019.994
309,30.9,-1019.519
310,31.0,-1020.255
311,31.1,-1020.543
312,31.2,-1020.627
313,31.3,-1020.618
314,31.4,-1020.636
315,31.5,-1020.962
316,31.6,-1020.432
317,31.7,-1020.823
318,31.8,-1021.009
319,31.9,-1021.065
320,32.0,-1021.726
321,32.1,-1022.136
322,32.2,-1022.285
323,32.3,-1023.300
324,32.4,-1023.719
325,32.5,-1023.728
326,32.6,-1024.073
327,32.7,-1023.831
328,32.8,-1023.933
329,32.9,-1024.446
330,33.0,-1024.837
331,33.1,-1024.958
332,33.2,-1025.153
333,33.3,-1024.995
334,33.4,-1025.088
335,33.5,-1024.427
336,33.6,-1024.026
337,33.7,-1023.756
338,33.8,-1023.281
339,33.9,-1023.225
340,34.0,-1022.918
341,34.1,-1022.527
342,34.2,-1022.350
343,34.3,-1022.648
344,34.4,-1022.471
345,34.5,-1022.303
346,34.6,-1021.679
347,34.7,-1020.730
348,34.8,-1019.984
349,34.9,-1019.435
350,35.0,-1018.913
351,35.1,-1017.861
352,35.2,-1017.135
353,35.3,-1016.706
354,35.4,-1016.343
355,35.5,-1015.496
356,35.6,-1014.406
357,35.7,-1012.925
358,35.8,-1011.109
359,35.9,-1009.880
360,36.0,-1009.116
361,36.1,-1010.532
362,36.2,-1011.379
363,36.3,-1011.863
364,36.4,-1012.040
365,36.5,-1013.204
366,36.6,-1014.266
367,36.7,-1015.142
368,36.8,-1016.408
369,36.9,-1017.237
370,37.0,-1018.150
371,37.1,-1019.053
372,37.2,-1019.351
373,37.3,-1020.497
374,37.4,-1020.841
375,37.5,-1021.521
376,37.6,-1021.223
377,37.7,-1021.540
378,37.8,-1021.577
379,37.9,-1021.847
380,38.0,-1022.052
381,38.1,-1021.679
382,38.2,-1021.801
383,38.3,-1021.959
384,38.4,-1022.201
385,38.5,-1021.866
386,38.6,-1021.139
387,38.7,-1021.577
388,38.8,-1021.512
389,38.9,-1021.372
390,39.0,-1021.558
391,39.1,-1021.149
392,39.2,-1021.456
393,39.3,-1021.540
394,39.4,-1021.568
395,39.5,-1021.354
396,39.6,-1021.223
397,39.7,-1021.428
398,39.8,-1021.475
399,39.9,-1021.829
400,40.0,-1021.679
401,40.1,-1021.903
402,40.2,-1021.577
403,40.3,-1021.735
404,40.4,-1021.614
405,40.5,-1021.763
406,40.6,-1022.182
407,40.7,-1022.415
408,40.8,-1022.648
409,40.9,-1022.657
410,41.0,-1022.732
411,41.1,-1022.704
412,41.2,-1022.946
413,41.3,-1023.263
414,41.4,-1023.021
415,41.5,-1023.263
416,41.6,-1023.486
417,41.7,-1023.700
418,41.8,-1023.486
419,41.9,-1023.896
420,42.0,-1024.511
421,42.1,-1024.641
422,42.2,-1025.060
423,42.3,-1025.479
424,42.4,-1025.796
