Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 518
Start Time: 1/18/2023 2:53:03.7 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0.0,20.202,20.451
1,0.1,20.196,20.458
2,0.2,20.202,20.450
3,0.3,20.206,20.448
4,0.4,20.208,20.456
5,0.5,20.211,20.450
6,0.6,20.208,20.442
7,0.7,20.221,20.450
8,0.8,20.205,20.446
9,0.9,20.205,20.438
10,1.0,20.210,20.436
11,1.1,20.203,20.437
12,1.2,20.215,20.438
13,1.3,20.221,20.436
14,1.4,20.208,20.427
15,1.5,20.213,20.428
16,1.6,20.211,20.428
17,1.7,20.213,20.429
18,1.8,20.208,20.422
19,1.9,20.220,20.432
20,2.0,20.213,20.421
21,2.1,20.215,20.428
22,2.2,20.213,20.420
23,2.3,20.216,20.418
24,2.4,20.210,20.424
25,2.5,20.212,20.416
26,2.6,20.213,20.415
27,2.7,20.217,20.422
28,2.8,20.213,20.413
29,2.9,20.217,20.413
30,3.0,20.215,20.413
31,3.1,20.206,20.415
32,3.2,20.213,20.411
33,3.3,20.213,20.406
34,3.4,20.205,20.409
35,3.5,20.206,20.406
36,3.6,20.219,20.416
37,3.7,20.211,20.409
38,3.8,20.205,20.407
39,3.9,20.212,20.406
40,4.0,20.207,20.400
41,4.1,20.209,20.406
42,4.2,20.213,20.400
43,4.3,20.209,20.397
44,4.4,20.208,20.399
45,4.5,20.214,20.393
46,4.6,20.208,20.382
47,4.7,20.210,20.385
48,4.8,20.211,20.371
49,4.9,20.208,20.369
50,5.0,20.210,20.364
51,5.1,20.212,20.383
52,5.2,20.201,20.357
53,5.3,20.211,20.355
54,5.4,20.220,20.370
55,5.5,20.203,20.347
56,5.6,20.208,20.342
57,5.7,20.205,20.344
58,5.8,20.210,20.343
59,5.9,20.205,20.335
60,6.0,20.207,20.333
61,6.1,20.205,20.333
62,6.2,20.203,20.324
63,6.3,20.215,20.332
64,6.4,20.202,20.332
65,6.5,20.218,20.331
66,6.6,20.214,20.337
67,6.7,20.211,20.328
68,6.8,20.207,20.326
69,6.9,20.198,20.319
70,7.0,20.204,20.305
71,7.1,20.202,20.324
72,7.2,20.202,20.320
