Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 515
Start Time: 1/18/2023 3:07:13.4 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
0,0.0,0.257,0.697
1,0.1,0.259,0.714
2,0.2,0.258,0.729
3,0.3,0.260,0.748
4,0.4,0.254,0.758
5,0.5,0.254,0.773
6,0.6,0.251,0.768
7,0.7,0.244,0.787
8,0.8,0.253,0.777
9,0.9,0.249,0.755
10,1.0,0.244,0.678
11,1.1,0.258,0.670
12,1.2,0.254,0.647
13,1.3,0.249,0.653
14,1.4,0.254,0.661
15,1.5,0.263,0.659
16,1.6,0.239,0.648
17,1.7,0.234,0.659
18,1.8,0.245,0.662
19,1.9,0.238,0.676
20,2.0,0.240,0.685
21,2.1,0.248,0.681
22,2.2,0.241,0.701
23,2.3,0.238,0.705
24,2.4,0.225,0.706
25,2.5,0.249,0.743
26,2.6,0.245,0.768
27,2.7,0.237,0.789
28,2.8,0.247,0.806
29,2.9,0.233,0.830
30,3.0,0.242,0.842
31,3.1,0.238,0.862
32,3.2,0.242,0.859
33,3.3,0.249,0.864
34,3.4,0.254,0.875
35,3.5,0.243,0.884
36,3.6,0.242,0.862
37,3.7,0.241,0.874
38,3.8,0.240,0.875
39,3.9,0.250,0.885
40,4.0,0.250,0.896
41,4.1,0.245,0.901
42,4.2,0.242,0.924
43,4.3,0.247,0.952
44,4.4,0.238,0.950
45,4.5,0.247,0.970
46,4.6,0.247,0.997
47,4.7,0.242,0.988
48,4.8,0.240,0.983
49,4.9,0.249,0.998
50,5.0,0.240,1.001
51,5.1,0.255,1.002
52,5.2,0.244,1.004
53,5.3,0.247,1.008
54,5.4,0.252,1.015
55,5.5,0.248,1.003
56,5.6,0.251,0.987
57,5.7,0.245,0.996
58,5.8,0.249,0.993
59,5.9,0.246,1.006
60,6.0,0.251,0.998
61,6.1,0.238,0.996
62,6.2,0.247,0.995
63,6.3,0.251,0.991
64,6.4,0.249,0.988
65,6.5,0.244,0.990
66,6.6,0.247,0.997
67,6.7,0.252,0.989
68,6.8,0.250,0.982
69,6.9,0.243,0.990
70,7.0,0.251,0.989
71,7.1,0.259,0.977
72,7.2,0.251,1.040
73,7.3,0.244,1.065
74,7.4,0.250,1.077
75,7.5,0.261,1.083
76,7.6,0.258,1.073
77,7.7,0.256,1.079
78,7.8,0.259,1.099
79,7.9,0.262,1.090
80,8.0,0.256,1.083
81,8.1,0.258,1.083
82,8.2,0.259,1.087
83,8.3,0.258,1.093
84,8.4,0.260,1.101
85,8.5,0.264,1.091
86,8.6,0.262,1.087
87,8.7,0.264,1.101
88,8.8,0.257,1.084
89,8.9,0.262,1.091
90,9.0,0.255,1.094
91,9.1,0.260,1.093
92,9.2,0.267,1.102
93,9.3,0.264,1.103
94,9.4,0.269,1.107
95,9.5,0.271,1.105
96,9.6,0.265,1.117
97,9.7,0.263,1.102
98,9.8,0.267,1.113
99,9.9,0.258,1.109
100,10.0,0.265,1.090
101,10.1,0.267,1.082
102,10.2,0.264,1.077
103,10.3,0.268,1.063
104,10.4,0.269,1.050
105,10.5,0.267,1.048
106,10.6,0.263,1.021
107,10.7,0.260,1.029
108,10.8,0.259,1.040
109,10.9,0.260,1.038
110,11.0,0.261,1.045
111,11.1,0.257,1.052
112,11.2,0.255,1.045
113,11.3,0.268,1.051
114,11.4,0.262,1.069
115,11.5,0.271,1.055
116,11.6,0.271,1.073
117,11.7,0.273,1.080
118,11.8,0.265,1.076
119,11.9,0.267,1.089
120,12.0,0.264,1.073
121,12.1,0.272,1.076
122,12.2,0.264,1.072
123,12.3,0.271,1.060
124,12.4,0.267,1.024
125,12.5,0.265,1.030
126,12.6,0.271,1.019
127,12.7,0.265,1.022
128,12.8,0.268,1.016
129,12.9,0.263,1.021
130,13.0,0.265,1.025
131,13.1,0.265,1.023
132,13.2,0.264,1.030
133,13.3,0.267,1.028
134,13.4,0.266,1.038
135,13.5,0.259,1.037
136,13.6,0.266,1.041
137,13.7,0.259,1.066
138,13.8,0.262,1.086
139,13.9,0.270,1.102
140,14.0,0.268,1.092
141,14.1,0.268,1.074
142,14.2,0.257,1.076
143,14.3,0.273,1.079
144,14.4,0.266,1.078
145,14.5,0.268,1.067
146,14.6,0.265,1.076
147,14.7,0.258,1.059
148,14.8,0.261,1.065
149,14.9,0.265,1.062
150,15.0,0.266,1.038
151,15.1,0.261,1.060
152,15.2,0.269,1.063
153,15.3,0.261,1.051
154,15.4,0.264,1.054
155,15.5,0.263,1.056
156,15.6,0.273,1.063
157,15.7,0.264,1.089
158,15.8,0.270,1.105
159,15.9,0.267,1.119
160,16.0,0.269,1.139
161,16.1,0.260,1.143
162,16.2,0.272,1.145
163,16.3,0.270,1.155
164,16.4,0.262,1.156
165,16.5,0.267,1.150
166,16.6,0.274,1.159
167,16.7,0.269,1.158
168,16.8,0.268,1.156
169,16.9,0.277,1.166
170,17.0,0.273,1.156
171,17.1,0.273,1.151
172,17.2,0.283,1.150
173,17.3,0.269,1.159
174,17.4,0.280,1.145
175,17.5,0.274,1.161
176,17.6,0.277,1.154
177,17.7,0.274,1.162
178,17.8,0.277,1.178
179,17.9,0.277,1.174
180,18.0,0.271,1.167
181,18.1,0.279,1.182
182,18.2,0.273,1.159
183,18.3,0.283,1.158
184,18.4,0.282,1.156
185,18.5,0.281,1.148
186,18.6,0.287,1.157
187,18.7,0.277,1.158
188,18.8,0.277,1.147
189,18.9,0.279,1.135
190,19.0,0.275,1.143
191,19.1,0.290,1.120
192,19.2,0.272,1.134
193,19.3,0.278,1.127
194,19.4,0.278,1.122
195,19.5,0.276,1.116
196,19.6,0.278,1.129
197,19.7,0.277,1.112
198,19.8,0.272,1.115
199,19.9,0.281,1.119
200,20.0,0.274,1.112
201,20.1,0.215,1.043
202,20.2,0.219,1.046
203,20.3,0.211,1.038
204,20.4,0.214,1.052
205,20.5,0.216,1.065
206,20.6,0.211,1.034
207,20.7,0.218,1.054
208,20.8,0.220,1.058
209,20.9,0.211,1.054
210,21.0,0.221,1.069
211,21.1,0.208,1.049
212,21.2,0.222,1.044
213,21.3,0.212,1.035
214,21.4,0.215,1.028
215,21.5,0.219,1.033
216,21.6,0.217,1.030
217,21.7,0.214,1.030
218,21.8,0.220,1.017
219,21.9,0.216,1.032
220,22.0,0.210,1.030
221,22.1,0.217,1.039
222,22.2,0.211,1.035
223,22.3,0.253,1.078
224,22.4,0.213,1.028
225,22.5,0.200,1.034
226,22.6,0.211,1.040
227,22.7,0.215,1.045
228,22.8,0.214,1.056
229,22.9,0.218,1.035
230,23.0,0.213,1.033
231,23.1,0.215,1.044
232,23.2,0.214,1.035
233,23.3,0.218,1.022
234,23.4,0.223,1.022
235,23.5,0.216,1.011
236,23.6,0.222,1.008
237,23.7,0.217,1.010
238,23.8,0.219,0.986
239,23.9,0.213,0.996
240,24.0,0.218,1.001
241,24.1,0.217,0.978
242,24.2,0.214,0.985
243,24.3,0.224,0.998
244,24.4,0.207,0.989
245,24.5,0.214,0.995
246,24.6,0.214,1.015
247,24.7,0.217,1.012
248,24.8,0.215,1.023
249,24.9,0.224,1.021
250,25.0,0.215,1.016
251,25.1,0.225,1.023
252,25.2,0.213,1.024
253,25.3,0.212,1.021
254,25.4,0.223,1.027
255,25.5,0.221,1.022
256,25.6,0.220,1.014
257,25.7,0.215,1.017
258,25.8,0.219,1.002
259,25.9,0.208,0.994
260,26.0,0.225,1.019
261,26.1,0.215,1.010
262,26.2,0.227,1.008
263,26.3,0.219,1.028
264,26.4,0.215,1.029
265,26.5,0.216,1.036
266,26.6,0.222,1.040
267,26.7,0.214,1.055
268,26.8,0.224,1.036
269,26.9,0.213,1.044
270,27.0,0.223,1.042
271,27.1,0.225,1.033
272,27.2,0.220,1.036
273,27.3,0.217,1.018
274,27.4,0.221,1.023
275,27.5,0.225,1.037
276,27.6,0.221,1.020
277,27.7,0.223,1.021
278,27.8,0.229,1.031
279,27.9,0.227,1.025
280,28.0,0.218,1.022
281,28.1,0.217,1.036
282,28.2,0.219,1.035
283,28.3,0.221,1.029
284,28.4,0.231,1.041
285,28.5,0.226,1.040
286,28.6,0.225,1.036
287,28.7,0.229,1.045
288,28.8,0.221,1.037
289,28.9,0.224,1.059
290,29.0,0.225,1.050
291,29.1,0.220,1.047
292,29.2,0.225,1.054
293,29.3,0.214,1.051
294,29.4,0.225,1.038
295,29.5,0.227,1.036
296,29.6,0.228,1.032
297,29.7,0.228,1.030
298,29.8,0.229,1.029
299,29.9,0.234,1.033
300,30.0,0.224,1.023
301,30.1,0.226,1.031
302,30.2,0.226,1.023
303,30.3,0.228,1.021
304,30.4,0.233,1.027
305,30.5,0.219,1.027
306,30.6,0.221,1.017
307,30.7,0.229,1.031
308,30.8,0.221,1.034
309,30.9,0.222,1.023
310,31.0,0.226,1.042
311,31.1,0.217,1.028
312,31.2,0.224,1.037
313,31.3,0.222,1.032
314,31.4,0.218,1.053
315,31.5,0.223,1.059
316,31.6,0.221,1.082
317,31.7,0.221,1.087
318,31.8,0.220,1.092
319,31.9,0.231,1.111
320,32.0,0.220,1.118
321,32.1,0.233,1.110
322,32.2,0.234,1.121
323,32.3,0.221,1.107
324,32.4,0.225,1.110
325,32.5,0.229,1.108
326,32.6,0.221,1.098
327,32.7,0.226,1.100
328,32.8,0.232,1.103
329,32.9,0.227,1.109
330,33.0,0.222,1.100
331,33.1,0.233,1.116
332,33.2,0.225,1.104
333,33.3,0.221,1.117
334,33.4,0.223,1.127
335,33.5,0.228,1.111
336,33.6,0.226,1.111
337,33.7,0.230,1.114
338,33.8,0.225,1.113
339,33.9,0.235,1.117
340,34.0,0.222,1.115
341,34.1,0.230,1.122
342,34.2,0.222,1.122
343,34.3,0.219,1.133
344,34.4,0.235,1.114
345,34.5,0.233,1.124
346,34.6,0.225,1.125
347,34.7,0.225,1.125
348,34.8,0.238,1.131
349,34.9,0.225,1.134
350,35.0,0.229,1.121
351,35.1,0.225,1.127
352,35.2,0.224,1.125
353,35.3,0.226,1.129
354,35.4,0.232,1.136
355,35.5,0.230,1.138
356,35.6,0.227,1.131
357,35.7,0.230,1.134
358,35.8,0.231,1.143
359,35.9,0.226,1.136
360,36.0,0.239,1.150
361,36.1,0.231,1.144
362,36.2,0.238,1.142
363,36.3,0.211,1.128
364,36.4,0.227,1.147
365,36.5,0.225,1.141
366,36.6,0.241,1.159
367,36.7,0.230,1.145
368,36.8,0.231,1.135
369,36.9,0.233,1.144
370,37.0,0.229,1.159
371,37.1,0.233,1.137
372,37.2,0.225,1.146
373,37.3,0.230,1.145
374,37.4,0.236,1.151
375,37.5,0.230,1.153
376,37.6,0.232,1.152
377,37.7,0.236,1.155
378,37.8,0.230,1.163
379,37.9,0.232,1.156
380,38.0,0.230,1.150
381,38.1,0.226,1.154
382,38.2,0.232,1.153
383,38.3,0.241,1.155
384,38.4,0.233,1.170
385,38.5,0.236,1.168
386,38.6,0.242,1.157
387,38.7,0.233,1.173
388,38.8,0.225,1.161
389,38.9,0.237,1.164
390,39.0,0.233,1.173
391,39.1,0.231,1.160
392,39.2,0.233,1.164
393,39.3,0.234,1.171
394,39.4,0.231,1.173
395,39.5,0.245,1.173
396,39.6,0.233,1.171
397,39.7,0.232,1.168
398,39.8,0.236,1.174
399,39.9,0.238,1.184
400,40.0,0.233,1.168
401,40.1,0.236,1.186
402,40.2,0.235,1.187
403,40.3,0.234,1.173
404,40.4,0.241,1.193
405,40.5,0.237,1.190
406,40.6,0.239,1.187
407,40.7,0.240,1.188
408,40.8,0.240,1.195
409,40.9,0.236,1.183
410,41.0,0.231,1.191
411,41.1,0.236,1.202
412,41.2,0.242,1.200
413,41.3,0.234,1.202
414,41.4,0.243,1.197
415,41.5,0.244,1.194
416,41.6,0.241,1.203
417,41.7,0.228,1.189
418,41.8,0.237,1.188
419,41.9,0.232,1.195
420,42.0,0.239,1.194
421,42.1,0.238,1.193
422,42.2,0.242,1.193
423,42.3,0.234,1.199
424,42.4,0.243,1.189
425,42.5,0.250,1.202
426,42.6,0.242,1.190
427,42.7,0.247,1.191
428,42.8,0.244,1.202
429,42.9,0.239,1.197
430,43.0,0.237,1.187
431,43.1,0.240,1.200
432,43.2,0.246,1.192
433,43.3,0.244,1.197
434,43.4,0.241,1.207
435,43.5,0.243,1.203
436,43.6,0.247,1.211
437,43.7,0.244,1.219
438,43.8,0.240,1.206
439,43.9,0.241,1.226
440,44.0,0.241,1.228
441,44.1,0.244,1.225
442,44.2,0.234,1.229
443,44.3,0.232,1.229
444,44.4,0.244,1.217
445,44.5,0.239,1.221
446,44.6,0.237,1.232
447,44.7,0.236,1.219
448,44.8,0.242,1.224
449,44.9,0.247,1.238
450,45.0,0.244,1.230
451,45.1,0.245,1.236
452,45.2,0.245,1.238
453,45.3,0.247,1.225
454,45.4,0.244,1.223
455,45.5,0.243,1.229
456,45.6,0.246,1.229
457,45.7,0.240,1.237
458,45.8,0.236,1.236
459,45.9,0.233,1.237
460,46.0,0.244,1.274
461,46.1,0.240,1.280
462,46.2,0.240,1.272
463,46.3,0.244,1.284
464,46.4,0.240,1.281
465,46.5,0.245,1.273
466,46.6,0.247,1.286
467,46.7,0.241,1.290
468,46.8,0.246,1.289
469,46.9,0.244,1.304
470,47.0,0.241,1.304
471,47.1,0.236,1.296
472,47.2,0.241,1.312
473,47.3,0.240,1.305
474,47.4,0.245,1.301
475,47.5,0.243,1.303
476,47.6,0.248,1.307
477,47.7,0.232,1.305
478,47.8,0.243,1.310
479,47.9,0.235,1.296
480,48.0,0.239,1.295
481,48.1,0.242,1.306
482,48.2,0.235,1.304
483,48.3,0.247,1.302
484,48.4,0.237,1.311
485,48.5,0.233,1.302
486,48.6,0.232,1.309
487,48.7,0.236,1.306
488,48.8,0.236,1.300
489,48.9,0.238,1.314
490,49.0,0.240,1.319
491,49.1,0.230,1.308
492,49.2,0.241,1.314
493,49.3,0.245,1.321
494,49.4,0.237,1.304
495,49.5,0.234,1.316
496,49.6,0.240,1.314
497,49.7,0.246,1.312
498,49.8,0.239,1.323
499,49.9,0.248,1.321
500,50.0,0.233,1.307
501,50.1,0.248,1.328
502,50.2,0.240,1.321
503,50.3,0.240,1.314
504,50.4,0.243,1.325
505,50.5,0.241,1.321
506,50.6,0.231,1.309
507,50.7,0.240,1.319
508,50.8,0.238,1.316
509,50.9,0.243,1.312
510,51.0,0.243,1.330
511,51.1,0.241,1.325
512,51.2,0.237,1.317
513,51.3,0.241,1.328
514,51.4,0.237,1.327
