Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 513
Start Time: 1/18/2023 3:08:21.8 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
221,22.1,0.223,1.652
222,22.2,0.213,1.657
223,22.3,0.220,1.648
224,22.4,0.220,1.646
225,22.5,0.219,1.656
226,22.6,0.219,1.660
227,22.7,0.214,1.662
228,22.8,0.224,1.652
229,22.9,0.229,1.662
230,23.0,0.218,1.664
231,23.1,0.225,1.657
232,23.2,0.231,1.661
233,23.3,0.216,1.670
234,23.4,0.213,1.662
235,23.5,0.221,1.671
236,23.6,0.222,1.660
237,23.7,0.228,1.667
238,23.8,0.213,1.662
239,23.9,0.213,1.666
240,24.0,0.229,1.664
241,24.1,0.219,1.678
242,24.2,0.225,1.661
243,24.3,0.220,1.672
244,24.4,0.218,1.685
245,24.5,0.222,1.675
246,24.6,0.228,1.545
247,24.7,0.225,1.677
248,24.8,0.222,1.676
249,24.9,0.231,1.672
250,25.0,0.227,1.692
251,25.1,0.198,1.655
252,25.2,0.208,1.664
253,25.3,0.239,1.688
254,25.4,0.219,1.685
255,25.5,0.221,1.679
256,25.6,0.228,1.690
257,25.7,0.214,1.679
258,25.8,0.229,1.693
259,25.9,0.227,1.692
260,26.0,0.226,1.683
261,26.1,0.189,1.663
262,26.2,0.219,1.694
263,26.3,0.218,1.687
264,26.4,0.233,1.707
265,26.5,0.231,1.706
266,26.6,0.232,1.718
267,26.7,0.239,1.687
268,26.8,0.212,1.695
269,26.9,0.220,1.694
270,27.0,0.225,1.706
271,27.1,0.221,1.702
272,27.2,0.227,1.712
273,27.3,0.228,1.707
274,27.4,0.227,1.711
275,27.5,0.221,1.692
276,27.6,0.226,1.704
277,27.7,0.227,1.712
278,27.8,0.227,1.703
279,27.9,0.224,1.706
280,28.0,0.221,1.712
281,28.1,0.227,1.709
282,28.2,0.228,1.716
283,28.3,0.224,1.717
284,28.4,0.226,1.714
285,28.5,0.226,1.714
286,28.6,0.244,1.725
287,28.7,0.227,1.715
288,28.8,0.241,1.725
289,28.9,0.225,1.716
290,29.0,0.260,1.737
291,29.1,0.238,1.717
292,29.2,0.228,1.710
293,29.3,0.231,1.716
294,29.4,0.221,1.724
295,29.5,0.212,1.715
296,29.6,0.230,1.725
297,29.7,0.231,1.727
298,29.8,0.223,1.715
299,29.9,0.236,1.739
300,30.0,0.225,1.743
301,30.1,0.231,1.722
302,30.2,0.228,1.735
303,30.3,0.234,1.754
304,30.4,0.232,1.735
305,30.5,0.230,1.730
306,30.6,0.232,1.741
307,30.7,0.229,1.732
308,30.8,0.228,1.743
309,30.9,0.229,1.735
310,31.0,0.239,1.749
311,31.1,0.233,1.740
312,31.2,0.233,1.744
313,31.3,0.229,1.737
314,31.4,0.233,1.746
315,31.5,0.224,1.743
316,31.6,0.237,1.739
317,31.7,0.228,1.743
318,31.8,0.227,1.746
319,31.9,0.236,1.747
320,32.0,0.235,1.754
321,32.1,0.230,1.747
322,32.2,0.238,1.750
323,32.3,0.238,1.758
324,32.4,0.233,1.768
325,32.5,0.230,1.757
326,32.6,0.231,1.756
327,32.7,0.227,1.753
328,32.8,0.230,1.751
329,32.9,0.229,1.758
330,33.0,0.226,1.754
331,33.1,0.236,1.752
332,33.2,0.228,1.765
333,33.3,0.231,1.752
334,33.4,0.231,1.753
335,33.5,0.239,1.765
336,33.6,0.228,1.760
337,33.7,0.238,1.762
338,33.8,0.238,1.768
339,33.9,0.228,1.764
340,34.0,0.227,1.764
341,34.1,0.229,1.769
342,34.2,0.234,1.763
343,34.3,0.238,1.761
344,34.4,0.231,1.780
345,34.5,0.242,1.776
346,34.6,0.229,1.772
347,34.7,0.232,1.780
348,34.8,0.229,1.785
349,34.9,0.235,1.779
350,35.0,0.235,1.782
351,35.1,0.246,1.776
352,35.2,0.236,1.778
353,35.3,0.233,1.785
354,35.4,0.239,1.781
355,35.5,0.236,1.785
356,35.6,0.238,1.787
357,35.7,0.233,1.783
358,35.8,0.234,1.782
359,35.9,0.236,1.790
360,36.0,0.237,1.784
361,36.1,0.253,1.801
362,36.2,0.226,1.790
363,36.3,0.228,1.772
364,36.4,0.236,1.789
365,36.5,0.228,1.786
