Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 2815
Start Time: 2/1/2023 2:45:38.396 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,0.527
1,0.001,0.526
2,0.002,0.525
3,0.003,0.527
4,0.004,0.526
5,0.005,0.525
6,0.006,0.527
7,0.007,0.524
8,0.008,0.526
9,0.009,0.528
10,0.010,0.524
11,0.011,0.528
12,0.012,0.526
13,0.013,0.527
14,0.014,0.526
15,0.015,0.526
16,0.016,0.526
17,0.017,0.525
18,0.018,0.527
19,0.019,0.527
20,0.020,0.527
21,0.021,0.527
22,0.022,0.526
23,0.023,0.524
24,0.024,0.526
25,0.025,0.527
26,0.026,0.527
27,0.027,0.527
28,0.028,0.526
29,0.029,0.527
30,0.030,0.526
31,0.031,0.525
32,0.032,0.527
33,0.033,0.527
34,0.034,0.526
35,0.035,0.527
36,0.036,0.525
37,0.037,0.525
38,0.038,0.526
39,0.039,0.526
40,0.040,0.526
41,0.041,0.525
42,0.042,0.526
43,0.043,0.526
44,0.044,0.526
45,0.045,0.528
46,0.046,0.526
47,0.047,0.526
48,0.048,0.527
49,0.049,0.526
50,0.050,0.526
51,0.051,0.527
52,0.052,0.526
53,0.053,0.526
54,0.054,0.527
55,0.055,0.525
56,0.056,0.525
57,0.057,0.526
58,0.058,0.526
59,0.059,0.527
60,0.060,0.525
61,0.061,0.525
62,0.062,0.526
63,0.063,0.526
64,0.064,0.526
65,0.065,0.524
66,0.066,0.526
67,0.067,0.525
68,0.068,0.525
69,0.069,0.524
70,0.070,0.526
71,0.071,0.525
72,0.072,0.526
73,0.073,0.525
74,0.074,0.526
75,0.075,0.525
76,0.076,0.526
77,0.077,0.524
78,0.078,0.524
79,0.079,0.527
80,0.080,0.526
81,0.081,0.525
82,0.082,0.527
83,0.083,0.524
84,0.084,0.527
85,0.085,0.525
86,0.086,0.525
87,0.087,0.526
88,0.088,0.526
89,0.089,0.525
90,0.090,0.527
91,0.091,0.527
92,0.092,0.526
93,0.093,0.526
94,0.094,0.525
95,0.095,0.525
96,0.096,0.524
97,0.097,0.526
98,0.098,0.524
99,0.099,0.526
100,0.100,0.525
101,0.101,0.526
102,0.102,0.525
103,0.103,0.526
104,0.104,0.524
105,0.105,0.525
106,0.106,0.525
107,0.107,0.527
108,0.108,0.527
109,0.109,0.523
110,0.110,0.524
111,0.111,0.527
112,0.112,0.525
113,0.113,0.526
114,0.114,0.526
115,0.115,0.526
116,0.116,0.525
117,0.117,0.525
118,0.118,0.527
119,0.119,0.526
120,0.120,0.526
121,0.121,0.525
122,0.122,0.526
123,0.123,0.526
124,0.124,0.527
125,0.125,0.527
126,0.126,0.526
127,0.127,0.526
128,0.128,0.525
129,0.129,0.525
130,0.130,0.526
131,0.131,0.527
132,0.132,0.526
133,0.133,0.525
134,0.134,0.524
135,0.135,0.525
136,0.136,0.525
137,0.137,0.527
138,0.138,0.525
139,0.139,0.526
140,0.140,0.526
141,0.141,0.526
142,0.142,0.525
143,0.143,0.527
144,0.144,0.525
145,0.145,0.526
146,0.146,0.525
147,0.147,0.526
148,0.148,0.526
149,0.149,0.527
150,0.150,0.526
151,0.151,0.527
152,0.152,0.526
153,0.153,0.526
154,0.154,0.526
155,0.155,0.526
156,0.156,0.526
157,0.157,0.526
158,0.158,0.527
159,0.159,0.526
160,0.160,0.526
161,0.161,0.525
162,0.162,0.525
163,0.163,0.527
164,0.164,0.525
165,0.165,0.526
166,0.166,0.527
167,0.167,0.527
168,0.168,0.526
169,0.169,0.525
170,0.170,0.526
171,0.171,0.527
172,0.172,0.526
173,0.173,0.527
174,0.174,0.526
175,0.175,0.525
176,0.176,0.526
177,0.177,0.525
178,0.178,0.526
179,0.179,0.525
180,0.180,0.526
181,0.181,0.525
182,0.182,0.526
183,0.183,0.527
184,0.184,0.526
185,0.185,0.527
186,0.186,0.527
187,0.187,0.525
188,0.188,0.526
189,0.189,0.527
190,0.190,0.527
191,0.191,0.524
192,0.192,0.528
193,0.193,0.526
194,0.194,0.526
195,0.195,0.525
196,0.196,0.527
197,0.197,0.526
198,0.198,0.527
199,0.199,0.527
200,0.200,0.525
201,0.201,0.525
202,0.202,0.526
203,0.203,0.526
204,0.204,0.526
205,0.205,0.526
206,0.206,0.525
207,0.207,0.527
208,0.208,0.525
209,0.209,0.525
210,0.210,0.526
211,0.211,0.524
212,0.212,0.525
213,0.213,0.525
214,0.214,0.526
215,0.215,0.526
216,0.216,0.526
217,0.217,0.526
218,0.218,0.525
219,0.219,0.526
220,0.220,0.525
221,0.221,0.527
222,0.222,0.526
223,0.223,0.526
224,0.224,0.524
225,0.225,0.525
226,0.226,0.526
227,0.227,0.526
228,0.228,0.527
229,0.229,0.526
230,0.230,0.526
231,0.231,0.527
232,0.232,0.527
233,0.233,0.525
234,0.234,0.526
235,0.235,0.527
236,0.236,0.526
237,0.237,0.527
238,0.238,0.527
239,0.239,0.526
240,0.240,0.526
241,0.241,0.527
242,0.242,0.527
243,0.243,0.526
244,0.244,0.526
245,0.245,0.527
246,0.246,0.526
247,0.247,0.527
248,0.248,0.524
249,0.249,0.526
250,0.250,0.526
251,0.251,0.525
252,0.252,0.525
253,0.253,0.527
254,0.254,0.527
255,0.255,0.525
256,0.256,0.526
257,0.257,0.527
258,0.258,0.527
259,0.259,0.526
260,0.260,0.527
261,0.261,0.526
262,0.262,0.527
263,0.263,0.527
264,0.264,0.526
265,0.265,0.525
266,0.266,0.526
267,0.267,0.525
268,0.268,0.526
269,0.269,0.526
270,0.270,0.526
271,0.271,0.525
272,0.272,0.526
273,0.273,0.527
274,0.274,0.527
275,0.275,0.527
276,0.276,0.528
277,0.277,0.526
278,0.278,0.527
279,0.279,0.527
280,0.280,0.527
281,0.281,0.527
282,0.282,0.526
283,0.283,0.525
284,0.284,0.526
285,0.285,0.525
286,0.286,0.525
287,0.287,0.526
288,0.288,0.526
289,0.289,0.527
290,0.290,0.527
291,0.291,0.526
292,0.292,0.525
293,0.293,0.525
294,0.294,0.525
295,0.295,0.526
296,0.296,0.527
297,0.297,0.526
298,0.298,0.527
299,0.299,0.527
300,0.300,0.525
301,0.301,0.524
302,0.302,0.525
303,0.303,0.526
304,0.304,0.526
305,0.305,0.528
306,0.306,0.528
307,0.307,0.526
308,0.308,0.527
309,0.309,0.525
310,0.310,0.527
311,0.311,0.526
312,0.312,0.525
313,0.313,0.525
314,0.314,0.526
315,0.315,0.526
316,0.316,0.526
317,0.317,0.528
318,0.318,0.525
319,0.319,0.526
320,0.320,0.527
321,0.321,0.526
322,0.322,0.526
323,0.323,0.526
324,0.324,0.526
325,0.325,0.526
326,0.326,0.525
327,0.327,0.525
328,0.328,0.527
329,0.329,0.525
330,0.330,0.527
331,0.331,0.526
332,0.332,0.525
333,0.333,0.526
334,0.334,0.525
335,0.335,0.525
336,0.336,0.526
337,0.337,0.525
338,0.338,0.526
339,0.339,0.527
340,0.340,0.526
341,0.341,0.525
342,0.342,0.524
343,0.343,0.525
344,0.344,0.525
345,0.345,0.525
346,0.346,0.526
347,0.347,0.526
348,0.348,0.527
349,0.349,0.525
350,0.350,0.527
351,0.351,0.525
352,0.352,0.526
353,0.353,0.526
354,0.354,0.526
355,0.355,0.527
356,0.356,0.528
357,0.357,0.526
358,0.358,0.527
359,0.359,0.526
360,0.360,0.526
361,0.361,0.527
362,0.362,0.525
363,0.363,0.527
364,0.364,0.527
365,0.365,0.527
366,0.366,0.527
367,0.367,0.527
368,0.368,0.529
369,0.369,0.535
370,0.370,0.541
371,0.371,0.549
372,0.372,0.555
373,0.373,0.563
374,0.374,0.567
375,0.375,0.571
376,0.376,0.577
377,0.377,0.582
378,0.378,0.590
379,0.379,0.594
380,0.380,0.597
381,0.381,0.597
382,0.382,0.599
383,0.383,0.599
384,0.384,0.599
385,0.385,0.598
386,0.386,0.596
387,0.387,0.595
388,0.388,0.593
389,0.389,0.589
390,0.390,0.587
391,0.391,0.583
392,0.392,0.580
393,0.393,0.577
394,0.394,0.572
395,0.395,0.570
396,0.396,0.567
397,0.397,0.563
398,0.398,0.559
399,0.399,0.557
400,0.400,0.555
401,0.401,0.554
402,0.402,0.552
403,0.403,0.550
404,0.404,0.549
405,0.405,0.549
406,0.406,0.547
407,0.407,0.546
408,0.408,0.546
409,0.409,0.546
410,0.410,0.546
411,0.411,0.546
412,0.412,0.548
413,0.413,0.548
414,0.414,0.548
415,0.415,0.550
416,0.416,0.549
417,0.417,0.550
418,0.418,0.551
419,0.419,0.554
420,0.420,0.555
421,0.421,0.558
422,0.422,0.558
423,0.423,0.562
424,0.424,0.564
425,0.425,0.567
426,0.426,0.570
427,0.427,0.571
428,0.428,0.575
429,0.429,0.578
430,0.430,0.580
431,0.431,0.584
432,0.432,0.588
433,0.433,0.593
434,0.434,0.595
435,0.435,0.598
436,0.436,0.602
437,0.437,0.608
438,0.438,0.609
439,0.439,0.615
440,0.440,0.618
441,0.441,0.621
442,0.442,0.625
443,0.443,0.630
444,0.444,0.635
445,0.445,0.639
446,0.446,0.644
447,0.447,0.648
448,0.448,0.654
449,0.449,0.657
450,0.450,0.663
451,0.451,0.668
452,0.452,0.675
453,0.453,0.677
454,0.454,0.683
455,0.455,0.687
456,0.456,0.692
457,0.457,0.696
458,0.458,0.702
459,0.459,0.705
460,0.460,0.708
461,0.461,0.712
462,0.462,0.716
463,0.463,0.719
464,0.464,0.720
465,0.465,0.725
466,0.466,0.728
467,0.467,0.727
468,0.468,0.730
469,0.469,0.731
470,0.470,0.734
471,0.471,0.735
472,0.472,0.738
473,0.473,0.737
474,0.474,0.738
475,0.475,0.741
476,0.476,0.739
477,0.477,0.742
478,0.478,0.744
479,0.479,0.745
480,0.480,0.745
481,0.481,0.747
482,0.482,0.749
483,0.483,0.751
484,0.484,0.751
485,0.485,0.754
486,0.486,0.754
487,0.487,0.758
488,0.488,0.759
489,0.489,0.762
490,0.490,0.764
491,0.491,0.767
492,0.492,0.769
493,0.493,0.773
494,0.494,0.775
495,0.495,0.779
496,0.496,0.779
497,0.497,0.782
498,0.498,0.786
499,0.499,0.787
500,0.500,0.792
501,0.501,0.796
502,0.502,0.799
503,0.503,0.802
504,0.504,0.806
505,0.505,0.810
506,0.506,0.813
507,0.507,0.817
508,0.508,0.821
509,0.509,0.824
510,0.510,0.830
511,0.511,0.833
