Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 507
Start Time: 1/18/2023 3:41:05.1 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
0,0.0,3018.584
1,0.1,3030.775
2,0.2,3026.901
3,0.3,3016.964
4,0.4,3019.776
5,0.5,3028.987
6,0.6,3025.448
7,0.7,3021.033
8,0.8,3022.924
9,0.9,3029.592
10,1.0,3027.823
11,1.1,3022.039
12,1.2,3023.287
13,1.3,3028.056
14,1.4,3022.216
15,1.5,3016.461
16,1.6,3018.603
17,1.7,3023.734
18,1.8,3027.227
19,1.9,3021.257
20,2.0,3019.515
21,2.1,3027.674
22,2.2,3027.143
23,2.3,3022.654
24,2.4,3021.378
25,2.5,3028.186
26,2.6,3026.025
27,2.7,3029.555
28,2.8,3023.492
29,2.9,3027.283
30,3.0,3023.921
31,3.1,3020.521
32,3.2,3021.285
33,3.3,3026.528
34,3.4,3029.145
35,3.5,3024.396
36,3.6,3021.257
37,3.7,3029.844
38,3.8,3020.735
39,3.9,3017.755
40,4.0,3020.810
41,4.1,3040.629
42,4.2,3033.252
43,4.3,3020.903
44,4.4,3021.164
45,4.5,3027.190
46,4.6,3021.741
47,4.7,3022.468
48,4.8,3023.604
49,4.9,3029.034
50,5.0,3020.717
51,5.1,3014.198
52,5.2,3018.938
53,5.3,3028.847
54,5.4,3030.188
55,5.5,3026.631
56,5.6,3023.529
57,5.7,3027.562
58,5.8,3022.691
59,5.9,3017.588
60,6.0,3020.167
61,6.1,3027.618
62,6.2,3023.036
63,6.3,3019.832
64,6.4,3019.990
65,6.5,3027.255
66,6.6,3021.937
67,6.7,3016.340
68,6.8,3023.492
69,6.9,3030.840
70,7.0,3027.897
71,7.1,3019.199
72,7.2,3024.992
73,7.3,3033.541
74,7.4,3022.645
75,7.5,3018.733
76,7.6,3027.823
77,7.7,3032.796
78,7.8,3023.418
79,7.9,3019.832
80,8.0,3026.091
81,8.1,3030.133
82,8.2,3020.866
83,8.3,3016.870
84,8.4,3025.634
85,8.5,3027.106
86,8.6,3016.843
87,8.7,3017.876
88,8.8,3030.607
89,8.9,3029.471
90,9.0,3016.973
91,9.1,3015.744
92,9.2,3024.377
93,9.3,3030.580
94,9.4,3025.411
95,9.5,3023.474
96,9.6,3029.816
97,9.7,3029.471
98,9.8,3013.313
99,9.9,3013.136
100,10.0,3025.224
101,10.1,3027.515
102,10.2,3016.004
103,10.3,3015.511
104,10.4,3028.931
105,10.5,3042.966
106,10.6,3020.540
107,10.7,3018.351
108,10.8,3029.760
109,10.9,3028.624
110,11.0,3020.018
111,11.1,3019.096
112,11.2,3033.187
113,11.3,3026.128
114,11.4,3012.801
115,11.5,3014.999
116,11.6,3026.268
117,11.7,3031.483
118,11.8,3015.632
119,11.9,3013.099
120,12.0,3026.668
121,12.1,3031.250
122,12.2,3016.470
123,12.3,3017.206
124,12.4,3030.216
125,12.5,3035.543
126,12.6,3016.647
127,12.7,3017.513
128,12.8,3029.266
129,12.9,3032.591
130,13.0,3017.914
131,13.1,3015.567
132,13.2,3033.616
133,13.3,3031.297
134,13.4,3018.389
135,13.5,3022.319
136,13.6,3036.037
137,13.7,3032.461
138,13.8,3017.439
139,13.9,3016.070
140,14.0,3031.678
141,14.1,3033.262
142,14.2,3015.762
143,14.3,3017.029
144,14.4,3031.436
145,14.5,3028.465
146,14.6,3017.345
147,14.7,3014.188
148,14.8,3038.095
149,14.9,3030.207
150,15.0,3013.555
151,15.1,3014.775
152,15.2,3028.568
153,15.3,3026.128
154,15.4,3015.390
155,15.5,3016.721
156,15.6,3030.589
157,15.7,3027.031
158,15.8,3016.805
159,15.9,3017.504
160,16.0,3032.964
161,16.1,3029.965
162,16.2,3020.465
163,16.3,3020.270
164,16.4,3032.116
165,16.5,3030.486
166,16.6,3018.193
167,16.7,3018.584
168,16.8,3027.581
169,16.9,3023.194
170,17.0,3012.847
171,17.1,3016.042
172,17.2,3027.264
173,17.3,3022.421
174,17.4,3018.565
175,17.5,3019.348
176,17.6,3026.100
177,17.7,3024.759
178,17.8,3019.087
179,17.9,3021.648
180,18.0,3028.996
181,18.1,3030.272
182,18.2,3022.151
183,18.3,3020.763
184,18.4,3028.475
185,18.5,3022.570
186,18.6,3014.179
187,18.7,3016.125
188,18.8,3025.178
189,18.9,3021.937
190,19.0,3018.817
191,19.1,3022.812
192,19.2,3027.227
193,19.3,3022.254
194,19.4,3017.187
195,19.5,3019.711
196,19.6,3028.037
197,19.7,3021.797
198,19.8,3019.851
199,19.9,3018.845
200,20.0,3024.051
201,20.1,3019.935
202,20.2,3016.675
203,20.3,3025.755
204,20.4,3030.021
205,20.5,3026.435
206,20.6,3018.305
207,20.7,3022.356
208,20.8,3032.861
209,20.9,3027.106
210,21.0,3026.938
211,21.1,3023.036
212,21.2,3024.731
213,21.3,3023.492
214,21.4,3023.660
215,21.5,3025.867
216,21.6,3030.077
217,21.7,3018.482
218,21.8,3019.776
219,21.9,3023.529
220,22.0,3028.512
221,22.1,3022.719
222,22.2,3017.336
223,22.3,3021.844
224,22.4,3025.495
225,22.5,3018.584
226,22.6,3019.450
227,22.7,3023.259
228,22.8,3026.882
229,22.9,3024.843
230,23.0,3021.983
231,23.1,3021.481
232,23.2,3022.328
233,23.3,3016.628
234,23.4,3030.412
235,23.5,3034.947
236,23.6,3034.445
237,23.7,3020.819
238,23.8,3022.701
239,23.9,3028.838
240,24.0,3035.329
241,24.1,3040.684
242,24.2,3028.633
243,24.3,3035.367
244,24.4,3032.601
245,24.5,3028.624
246,24.6,3020.409
247,24.7,3022.505
248,24.8,3026.137
249,24.9,3025.448
250,25.0,3019.907
251,25.1,3021.229
252,25.2,3023.408
253,25.3,3020.968
254,25.4,3021.602
255,25.5,3024.573
256,25.6,3024.489
257,25.7,3030.170
258,25.8,3028.912
259,25.9,3024.330
260,26.0,3028.661
261,26.1,3022.086
262,26.2,3026.230
263,26.3,3033.103
264,26.4,3029.453
265,26.5,3026.417
266,26.6,3033.271
267,26.7,3030.272
268,26.8,3030.952
269,26.9,3020.139
270,27.0,3024.815
271,27.1,3029.583
272,27.2,3032.684
273,27.3,3027.292
274,27.4,3033.336
275,27.5,3038.198
276,27.6,3033.886
277,27.7,3021.369
278,27.8,3036.773
279,27.9,3044.643
280,28.0,3057.579
281,28.1,3036.354
282,28.2,3027.096
283,28.3,3037.611
284,28.4,3032.200
285,28.5,3016.740
286,28.6,3021.965
287,28.7,3037.378
288,28.8,3038.021
289,28.9,3026.789
290,29.0,3025.997
291,29.1,3036.652
292,29.2,3039.436
293,29.3,3029.052
294,29.4,3028.084
295,29.5,3044.242
296,29.6,3043.385
297,29.7,3022.132
298,29.8,3014.347
299,29.9,3032.060
300,30.0,3042.836
301,30.1,3029.155
302,30.2,3024.461
303,30.3,3035.087
304,30.4,3040.973
305,30.5,3029.527
306,30.6,3020.577
307,30.7,3036.950
308,30.8,3035.050
309,30.9,3030.952
310,31.0,3026.444
311,31.1,3030.943
312,31.2,3030.747
313,31.3,3020.372
314,31.4,3017.941
315,31.5,3029.602
316,31.6,3027.674
317,31.7,3014.887
318,31.8,3027.339
319,31.9,3042.007
320,32.0,3034.370
321,32.1,3023.315
322,32.2,3021.080
323,32.3,3026.938
324,32.4,3028.754
325,32.5,3018.714
326,32.6,3019.879
327,32.7,3030.254
328,32.8,3027.180
329,32.9,3017.709
330,33.0,3016.703
331,33.1,3024.628
332,33.2,3023.399
333,33.3,3016.572
334,33.4,3029.378
335,33.5,3036.745
336,33.6,3033.672
337,33.7,3029.360
338,33.8,3026.035
339,33.9,3038.114
340,34.0,3032.936
341,34.1,3015.930
342,34.2,3018.742
343,34.3,3029.332
344,34.4,3026.081
345,34.5,3020.922
346,34.6,3026.407
347,34.7,3029.639
348,34.8,3025.904
349,34.9,3017.150
350,35.0,3016.898
351,35.1,3023.017
352,35.2,3023.371
353,35.3,3021.816
354,35.4,3026.621
355,35.5,3032.982
356,35.6,3029.993
357,35.7,3026.305
358,35.8,3025.690
359,35.9,3030.179
360,36.0,3034.249
361,36.1,3021.974
362,36.2,3025.392
363,36.3,3034.202
364,36.4,3033.606
365,36.5,3022.682
366,36.6,3019.907
367,36.7,3024.703
368,36.8,3023.092
369,36.9,3019.487
370,37.0,3017.252
371,37.1,3021.201
372,37.2,3020.372
373,37.3,3021.136
374,37.4,3028.633
375,37.5,3036.540
376,37.6,3033.765
377,37.7,3024.209
378,37.8,3022.570
379,37.9,3031.334
380,38.0,3028.372
381,38.1,3020.242
382,38.2,3023.092
383,38.3,3027.841
384,38.4,3026.612
385,38.5,3028.475
386,38.6,3023.008
387,38.7,3025.196
388,38.8,3021.955
389,38.9,3016.377
390,39.0,3018.724
391,39.1,3024.824
392,39.2,3029.574
393,39.3,3033.550
394,39.4,3031.408
395,39.5,3028.689
396,39.6,3028.791
397,39.7,3023.399
398,39.8,3033.346
399,39.9,3029.006
400,40.0,3020.130
401,40.1,3021.779
402,40.2,3026.798
403,40.3,3028.577
404,40.4,3023.865
405,40.5,3022.840
406,40.6,3027.432
407,40.7,3026.584
408,40.8,3019.813
409,40.9,3022.440
410,41.0,3031.613
411,41.1,3027.534
412,41.2,3019.869
413,41.3,3024.647
414,41.4,3031.548
415,41.5,3035.981
416,41.6,3026.351
417,41.7,3028.540
418,41.8,3031.380
419,41.9,3029.397
420,42.0,3017.839
421,42.1,3024.945
422,42.2,3040.172
423,42.3,3040.330
424,42.4,3023.678
425,42.5,3021.993
426,42.6,3034.892
427,42.7,3029.890
428,42.8,3022.738
429,42.9,3028.270
430,43.0,3033.318
431,43.1,3031.082
432,43.2,3023.203
433,43.3,3024.610
434,43.4,3035.357
435,43.5,3030.719
436,43.6,3017.168
437,43.7,3019.366
438,43.8,3030.142
439,43.9,3030.803
440,44.0,3026.500
441,44.1,3024.004
442,44.2,3028.493
443,44.3,3026.119
444,44.4,3016.647
445,44.5,3017.783
446,44.6,3028.624
447,44.7,3026.770
448,44.8,3021.425
449,44.9,3025.271
450,45.0,3035.748
451,45.1,3030.514
452,45.2,3021.313
453,45.3,3021.406
454,45.4,3034.798
455,45.5,3033.709
456,45.6,3021.955
457,45.7,3022.626
458,45.8,3030.095
459,45.9,3031.343
460,46.0,3022.728
461,46.1,3021.862
462,46.2,3034.882
463,46.3,3027.394
464,46.4,3015.362
465,46.5,3015.036
466,46.6,3023.921
467,46.7,3030.421
468,46.8,3020.270
469,46.9,3020.363
470,47.0,3032.470
471,47.1,3029.956
472,47.2,3024.647
473,47.3,3033.485
474,47.4,3039.967
475,47.5,3035.506
476,47.6,3025.047
477,47.7,3021.583
478,47.8,3029.481
479,47.9,3025.616
480,48.0,3014.253
481,48.1,3013.788
482,48.2,3019.618
483,48.3,3023.036
484,48.4,3023.054
485,48.5,3014.849
486,48.6,3018.910
487,48.7,3021.248
488,48.8,3024.377
489,48.9,3025.280
490,49.0,3030.840
491,49.1,3025.346
492,49.2,3017.690
493,49.3,3022.589
494,49.4,3028.382
495,49.5,3029.313
496,49.6,3025.103
497,49.7,3021.667
498,49.8,3026.249
499,49.9,3024.824
500,50.0,3020.903
501,50.1,3018.184
502,50.2,3020.717
503,50.3,3015.781
504,50.4,3011.981
505,50.5,3018.668
506,50.6,3028.419
