Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 2335
Start Time: 2/1/2023 2:48:14.104 PM
Scan Rate: 1000
Sample,Time (s),AI4 (mV)
0,0.000,1.000
1,0.001,1.002
2,0.002,1.007
3,0.003,1.011
4,0.004,1.015
5,0.005,1.017
6,0.006,1.020
7,0.007,1.024
8,0.008,1.026
9,0.009,1.031
10,0.010,1.034
11,0.011,1.038
12,0.012,1.043
13,0.013,1.046
14,0.014,1.049
15,0.015,1.052
16,0.016,1.055
17,0.017,1.057
18,0.018,1.061
19,0.019,1.064
20,0.020,1.068
21,0.021,1.072
22,0.022,1.073
23,0.023,1.076
24,0.024,1.081
25,0.025,1.084
26,0.026,1.086
27,0.027,1.090
28,0.028,1.093
29,0.029,1.097
30,0.030,1.100
31,0.031,1.106
32,0.032,1.110
33,0.033,1.115
34,0.034,1.120
35,0.035,1.127
36,0.036,1.131
37,0.037,1.139
38,0.038,1.146
39,0.039,1.152
40,0.040,1.160
41,0.041,1.169
42,0.042,1.178
43,0.043,1.186
44,0.044,1.196
45,0.045,1.206
46,0.046,1.218
47,0.047,1.225
48,0.048,1.237
49,0.049,1.251
50,0.050,1.259
51,0.051,1.272
52,0.052,1.284
53,0.053,1.294
54,0.054,1.308
55,0.055,1.315
56,0.056,1.328
57,0.057,1.339
58,0.058,1.350
59,0.059,1.360
60,0.060,1.368
61,0.061,1.379
62,0.062,1.386
63,0.063,1.395
64,0.064,1.402
65,0.065,1.408
66,0.066,1.414
67,0.067,1.420
68,0.068,1.424
69,0.069,1.428
70,0.070,1.430
71,0.071,1.434
72,0.072,1.435
73,0.073,1.438
74,0.074,1.438
75,0.075,1.438
76,0.076,1.439
77,0.077,1.439
78,0.078,1.437
79,0.079,1.437
80,0.080,1.436
81,0.081,1.434
82,0.082,1.436
83,0.083,1.434
84,0.084,1.435
85,0.085,1.435
86,0.086,1.436
87,0.087,1.435
88,0.088,1.437
89,0.089,1.439
90,0.090,1.441
91,0.091,1.445
92,0.092,1.446
93,0.093,1.452
94,0.094,1.457
95,0.095,1.463
96,0.096,1.471
97,0.097,1.479
98,0.098,1.486
99,0.099,1.495
100,0.100,1.504
101,0.101,1.513
102,0.102,1.525
103,0.103,1.537
104,0.104,1.547
105,0.105,1.559
106,0.106,1.573
107,0.107,1.587
108,0.108,1.599
109,0.109,1.612
110,0.110,1.625
111,0.111,1.637
112,0.112,1.650
113,0.113,1.663
114,0.114,1.674
115,0.115,1.685
116,0.116,1.696
117,0.117,1.709
118,0.118,1.718
119,0.119,1.727
120,0.120,1.736
121,0.121,1.743
122,0.122,1.751
123,0.123,1.757
124,0.124,1.762
125,0.125,1.766
126,0.126,1.771
127,0.127,1.773
128,0.128,1.776
129,0.129,1.778
130,0.130,1.778
131,0.131,1.779
132,0.132,1.780
133,0.133,1.780
134,0.134,1.779
135,0.135,1.778
136,0.136,1.776
137,0.137,1.775
138,0.138,1.775
139,0.139,1.773
140,0.140,1.772
141,0.141,1.771
142,0.142,1.771
143,0.143,1.769
144,0.144,1.769
145,0.145,1.770
146,0.146,1.771
147,0.147,1.771
148,0.148,1.771
149,0.149,1.772
150,0.150,1.776
151,0.151,1.776
152,0.152,1.780
153,0.153,1.783
154,0.154,1.788
155,0.155,1.792
156,0.156,1.796
157,0.157,1.802
158,0.158,1.807
159,0.159,1.813
160,0.160,1.820
161,0.161,1.827
162,0.162,1.835
163,0.163,1.845
164,0.164,1.850
165,0.165,1.861
166,0.166,1.870
167,0.167,1.877
168,0.168,1.887
169,0.169,1.895
170,0.170,1.907
171,0.171,1.913
172,0.172,1.924
173,0.173,1.933
174,0.174,1.943
175,0.175,1.952
176,0.176,1.961
177,0.177,1.970
178,0.178,1.978
179,0.179,1.987
180,0.180,1.994
181,0.181,2.005
182,0.182,2.012
183,0.183,2.020
184,0.184,2.026
185,0.185,2.034
186,0.186,2.042
187,0.187,2.048
188,0.188,2.055
189,0.189,2.064
190,0.190,2.069
191,0.191,2.076
192,0.192,2.085
193,0.193,2.092
194,0.194,2.099
195,0.195,2.106
196,0.196,2.113
197,0.197,2.121
198,0.198,2.130
199,0.199,2.136
200,0.200,2.143
201,0.201,2.153
202,0.202,2.159
203,0.203,2.169
204,0.204,2.177
205,0.205,2.187
206,0.206,2.196
207,0.207,2.206
208,0.208,2.214
209,0.209,2.226
210,0.210,2.235
211,0.211,2.247
212,0.212,2.256
213,0.213,2.265
214,0.214,2.278
215,0.215,2.287
216,0.216,2.299
217,0.217,2.308
218,0.218,2.318
219,0.219,2.328
220,0.220,2.338
221,0.221,2.349
222,0.222,2.356
223,0.223,2.365
224,0.224,2.374
225,0.225,2.382
226,0.226,2.389
227,0.227,2.396
228,0.228,2.404
229,0.229,2.411
230,0.230,2.415
231,0.231,2.422
232,0.232,2.425
233,0.233,2.429
234,0.234,2.432
235,0.235,2.436
236,0.236,2.436
237,0.237,2.439
238,0.238,2.440
239,0.239,2.440
240,0.240,2.440
241,0.241,2.440
242,0.242,2.441
243,0.243,2.439
244,0.244,2.440
245,0.245,2.437
246,0.246,2.436
247,0.247,2.438
248,0.248,2.437
249,0.249,2.434
250,0.250,2.436
251,0.251,2.436
252,0.252,2.436
253,0.253,2.436
254,0.254,2.439
255,0.255,2.439
256,0.256,2.439
257,0.257,2.443
258,0.258,2.443
259,0.259,2.447
260,0.260,2.449
261,0.261,2.453
262,0.262,2.456
263,0.263,2.462
264,0.264,2.470
265,0.265,2.475
266,0.266,2.483
267,0.267,2.492
268,0.268,2.500
269,0.269,2.511
270,0.270,2.523
271,0.271,2.537
272,0.272,2.548
273,0.273,2.562
274,0.274,2.575
275,0.275,2.590
276,0.276,2.606
277,0.277,2.622
278,0.278,2.639
279,0.279,2.656
280,0.280,2.675
281,0.281,2.694
282,0.282,2.711
283,0.283,2.727
284,0.284,2.748
285,0.285,2.766
286,0.286,2.786
287,0.287,2.802
288,0.288,2.819
289,0.289,2.838
290,0.290,2.854
291,0.291,2.872
292,0.292,2.888
293,0.293,2.905
294,0.294,2.919
295,0.295,2.933
296,0.296,2.946
297,0.297,2.958
298,0.298,2.969
299,0.299,2.980
300,0.300,2.990
301,0.301,3.001
302,0.302,3.010
303,0.303,3.019
304,0.304,3.023
305,0.305,3.031
306,0.306,3.038
307,0.307,3.046
308,0.308,3.049
309,0.309,3.055
310,0.310,3.058
311,0.311,3.062
312,0.312,3.066
313,0.313,3.071
314,0.314,3.074
315,0.315,3.076
316,0.316,3.081
317,0.317,3.083
318,0.318,3.086
319,0.319,3.091
320,0.320,3.093
321,0.321,3.097
322,0.322,3.101
323,0.323,3.105
324,0.324,3.109
325,0.325,3.114
326,0.326,3.121
327,0.327,3.126
328,0.328,3.130
329,0.329,3.139
330,0.330,3.144
331,0.331,3.153
332,0.332,3.158
333,0.333,3.168
334,0.334,3.178
335,0.335,3.188
336,0.336,3.199
337,0.337,3.207
338,0.338,3.220
339,0.339,3.231
340,0.340,3.241
341,0.341,3.253
342,0.342,3.265
343,0.343,3.275
344,0.344,3.287
345,0.345,3.298
346,0.346,3.310
347,0.347,3.321
348,0.348,3.330
349,0.349,3.344
350,0.350,3.352
351,0.351,3.362
352,0.352,3.373
353,0.353,3.382
354,0.354,3.391
355,0.355,3.401
356,0.356,3.408
357,0.357,3.418
358,0.358,3.426
359,0.359,3.431
360,0.360,3.439
361,0.361,3.445
362,0.362,3.451
363,0.363,3.458
364,0.364,3.463
365,0.365,3.468
366,0.366,3.473
367,0.367,3.477
368,0.368,3.483
369,0.369,3.490
370,0.370,3.493
371,0.371,3.498
