Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 418
Start Time: 2/8/2023 2:57:30.64 PM
Scan Rate: 20
Sample,Time (s),CH0 (°C),CH1 (°C)
193,9.65,20.840,-9999.000
194,9.70,20.853,-9999.000
195,9.75,20.884,-9999.000
196,9.80,20.874,-9999.000
197,9.85,20.889,-9999.000
198,9.90,20.897,-9999.000
199,9.95,20.895,-9999.000
200,10.00,20.916,-9999.000
201,10.05,20.908,-9999.000
202,10.10,20.923,-9999.000
203,10.15,20.930,-9999.000
204,10.20,20.942,-9999.000
205,10.25,20.935,-9999.000
206,10.30,20.974,-9999.000
207,10.35,20.946,-9999.000
208,10.40,20.955,-9999.000
209,10.45,20.818,-9999.000
210,10.50,20.995,-9999.000
211,10.55,20.969,-9999.000
212,10.60,20.938,-9999.000
213,10.65,20.955,-9999.000
214,10.70,20.974,-9999.000
215,10.75,20.968,-9999.000
216,10.80,21.022,-9999.000
217,10.85,20.994,-9999.000
218,10.90,20.947,-9999.000
219,10.95,21.011,-9999.000
220,11.00,21.014,-9999.000
221,11.05,21.029,-9999.000
222,11.10,21.031,-9999.000
223,11.15,21.029,-9999.000
224,11.20,21.032,-9999.000
225,11.25,21.021,-9999.000
226,11.30,21.027,-9999.000
227,11.35,21.035,-9999.000
228,11.40,21.025,-9999.000
229,11.45,21.027,-9999.000
230,11.50,21.001,-9999.000
231,11.55,20.990,-9999.000
232,11.60,21.013,-9999.000
233,11.65,21.011,-9999.000
234,11.70,21.017,-9999.000
235,11.75,21.033,-9999.000
236,11.80,21.004,-9999.000
237,11.85,21.010,-9999.000
238,11.90,20.999,-9999.000
239,11.95,21.002,-9999.000
240,12.00,21.012,-9999.000
241,12.05,21.014,-9999.000
242,12.10,20.999,-9999.000
243,12.15,20.998,-9999.000
244,12.20,20.999,-9999.000
245,12.25,21.002,-9999.000
246,12.30,20.998,-9999.000
247,12.35,21.006,-9999.000
248,12.40,21.014,-9999.000
249,12.45,20.992,-9999.000
250,12.50,21.000,-9999.000
251,12.55,21.003,-9999.000
252,12.60,21.006,-9999.000
253,12.65,20.996,-9999.000
254,12.70,21.000,-9999.000
255,12.75,21.017,-9999.000
