Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 2
Sample Count: 519
Start Time: 1/18/2023 3:09:28.4 PM
Scan Rate: 10
Sample,Time (s),CH0 (°C),CH1 (°C)
221,22.1,0.284,1.505
222,22.2,0.290,1.502
223,22.3,0.300,1.514
224,22.4,0.292,1.511
225,22.5,0.287,1.532
226,22.6,0.294,1.502
227,22.7,0.296,1.513
228,22.8,0.287,1.515
229,22.9,0.290,1.511
230,23.0,0.293,1.520
231,23.1,0.291,1.509
232,23.2,0.296,1.517
233,23.3,0.303,1.514
234,23.4,0.303,1.511
235,23.5,0.298,1.516
236,23.6,0.297,1.527
237,23.7,0.303,1.520
238,23.8,0.295,1.526
239,23.9,0.297,1.529
240,24.0,0.300,1.514
241,24.1,0.303,1.530
242,24.2,0.306,1.524
243,24.3,0.298,1.519
244,24.4,0.300,1.537
245,24.5,0.298,1.524
246,24.6,0.304,1.531
247,24.7,0.303,1.535
248,24.8,0.295,1.529
249,24.9,0.308,1.529
250,25.0,0.305,1.541
251,25.1,0.298,1.536
252,25.2,0.306,1.531
253,25.3,0.305,1.542
254,25.4,0.298,1.544
255,25.5,0.305,1.534
256,25.6,0.305,1.541
257,25.7,0.303,1.538
258,25.8,0.304,1.544
259,25.9,0.311,1.545
260,26.0,0.301,1.546
261,26.1,0.311,1.541
262,26.2,0.300,1.545
263,26.3,0.303,1.542
264,26.4,0.309,1.554
265,26.5,0.304,1.552
266,26.6,0.302,1.541
267,26.7,0.313,1.553
268,26.8,0.310,1.563
269,26.9,0.314,1.545
270,27.0,0.314,1.555
271,27.1,0.305,1.566
272,27.2,0.307,1.552
273,27.3,0.306,1.553
274,27.4,0.309,1.553
275,27.5,0.309,1.557
276,27.6,0.307,1.568
277,27.7,0.308,1.569
278,27.8,0.309,1.552
279,27.9,0.317,1.570
280,28.0,0.322,1.572
281,28.1,0.312,1.567
282,28.2,0.314,1.569
283,28.3,0.315,1.571
284,28.4,0.312,1.564
285,28.5,0.310,1.581
286,28.6,0.312,1.571
287,28.7,0.323,1.577
288,28.8,0.313,1.584
289,28.9,0.308,1.575
290,29.0,0.309,1.580
291,29.1,0.311,1.582
292,29.2,0.313,1.581
293,29.3,0.314,1.572
294,29.4,0.316,1.577
295,29.5,0.317,1.583
296,29.6,0.319,1.584
297,29.7,0.314,1.589
298,29.8,0.306,1.582
299,29.9,0.321,1.583
300,30.0,0.313,1.595
301,30.1,0.316,1.589
302,30.2,0.309,1.591
303,30.3,0.314,1.604
304,30.4,0.318,1.593
305,30.5,0.319,1.594
306,30.6,0.309,1.599
307,30.7,0.313,1.609
308,30.8,0.311,1.588
309,30.9,0.310,1.601
310,31.0,0.315,1.602
311,31.1,0.316,1.604
312,31.2,0.317,1.606
313,31.3,0.319,1.605
314,31.4,0.315,1.614
315,31.5,0.316,1.603
316,31.6,0.308,1.611
317,31.7,0.318,1.612
318,31.8,0.312,1.605
319,31.9,0.312,1.600
320,32.0,0.323,1.625
321,32.1,0.307,1.622
322,32.2,0.309,1.607
323,32.3,0.319,1.620
324,32.4,0.308,1.616
325,32.5,0.313,1.621
326,32.6,0.318,1.621
327,32.7,0.312,1.627
328,32.8,0.321,1.610
329,32.9,0.314,1.617
330,33.0,0.318,1.622
331,33.1,0.319,1.624
332,33.2,0.315,1.620
333,33.3,0.307,1.620
334,33.4,0.324,1.627
335,33.5,0.311,1.626
336,33.6,0.309,1.625
337,33.7,0.311,1.624
338,33.8,0.317,1.628
339,33.9,0.311,1.625
340,34.0,0.327,1.622
341,34.1,0.315,1.641
342,34.2,0.316,1.634
343,34.3,0.314,1.630
344,34.4,0.314,1.640
345,34.5,0.305,1.628
346,34.6,0.315,1.629
347,34.7,0.318,1.640
348,34.8,0.311,1.636
349,34.9,0.318,1.632
350,35.0,0.319,1.648
351,35.1,0.318,1.649
352,35.2,0.315,1.651
353,35.3,0.312,1.648
354,35.4,0.312,1.647
355,35.5,0.313,1.642
356,35.6,0.309,1.645
357,35.7,0.313,1.651
358,35.8,0.319,1.652
359,35.9,0.314,1.655
360,36.0,0.315,1.648
361,36.1,0.316,1.651
362,36.2,0.314,1.652
363,36.3,0.315,1.658
364,36.4,0.316,1.645
365,36.5,0.309,1.663
366,36.6,0.320,1.661
367,36.7,0.310,1.660
368,36.8,0.310,1.659
369,36.9,0.315,1.658
370,37.0,0.317,1.672
371,37.1,0.310,1.671
372,37.2,0.325,1.667
373,37.3,0.316,1.662
374,37.4,0.314,1.670
375,37.5,0.316,1.669
376,37.6,0.317,1.673
377,37.7,0.314,1.666
378,37.8,0.316,1.659
379,37.9,0.324,1.685
380,38.0,0.315,1.679
381,38.1,0.325,1.687
382,38.2,0.322,1.690
383,38.3,0.312,1.683
384,38.4,0.315,1.674
385,38.5,0.331,1.687
386,38.6,0.323,1.688
387,38.7,0.326,1.688
388,38.8,0.330,1.686
389,38.9,0.320,1.689
390,39.0,0.323,1.677
391,39.1,0.314,1.687
392,39.2,0.328,1.687
393,39.3,0.332,1.692
394,39.4,0.326,1.694
395,39.5,0.324,1.694
396,39.6,0.327,1.704
397,39.7,0.328,1.704
398,39.8,0.320,1.696
399,39.9,0.318,1.689
400,40.0,0.313,1.678
401,40.1,0.258,1.628
402,40.2,0.259,1.636
403,40.3,0.266,1.650
404,40.4,0.257,1.634
405,40.5,0.272,1.654
406,40.6,0.265,1.640
407,40.7,0.267,1.624
408,40.8,0.259,1.643
409,40.9,0.262,1.634
410,41.0,0.261,1.640
411,41.1,0.256,1.652
412,41.2,0.257,1.641
413,41.3,0.260,1.648
414,41.4,0.258,1.659
415,41.5,0.268,1.639
416,41.6,0.267,1.660
417,41.7,0.263,1.654
418,41.8,0.271,1.643
419,41.9,0.263,1.653
420,42.0,0.270,1.657
421,42.1,0.273,1.661
422,42.2,0.266,1.658
423,42.3,0.265,1.653
424,42.4,0.262,1.652
425,42.5,0.264,1.652
426,42.6,0.268,1.654
427,42.7,0.269,1.662
428,42.8,0.271,1.662
429,42.9,0.262,1.663
430,43.0,0.266,1.665
431,43.1,0.265,1.664
432,43.2,0.267,1.676
433,43.3,0.266,1.663
434,43.4,0.264,1.668
435,43.5,0.269,1.671
436,43.6,0.261,1.669
437,43.7,0.269,1.661
438,43.8,0.249,1.670
439,43.9,0.265,1.670
440,44.0,0.259,1.671
441,44.1,0.265,1.677
442,44.2,0.267,1.682
443,44.3,0.262,1.671
444,44.4,0.272,1.674
445,44.5,0.264,1.679
446,44.6,0.257,1.673
447,44.7,0.259,1.677
448,44.8,0.265,1.691
449,44.9,0.265,1.684
450,45.0,0.260,1.694
451,45.1,0.265,1.689
452,45.2,0.268,1.696
453,45.3,0.259,1.694
454,45.4,0.268,1.690
455,45.5,0.254,1.690
456,45.6,0.265,1.698
457,45.7,0.264,1.688
458,45.8,0.261,1.698
459,45.9,0.257,1.688
460,46.0,0.263,1.694
461,46.1,0.270,1.693
462,46.2,0.252,1.713
463,46.3,0.256,1.706
464,46.4,0.253,1.703
465,46.5,0.259,1.705
466,46.6,0.271,1.707
467,46.7,0.255,1.696
468,46.8,0.263,1.703
469,46.9,0.261,1.711
470,47.0,0.261,1.712
471,47.1,0.255,1.708
472,47.2,0.257,1.717
473,47.3,0.256,1.714
474,47.4,0.255,1.714
475,47.5,0.251,1.702
476,47.6,0.246,1.709
477,47.7,0.257,1.706
478,47.8,0.247,1.714
479,47.9,0.252,1.701
480,48.0,0.273,1.724
481,48.1,0.253,1.700
482,48.2,0.255,1.718
483,48.3,0.257,1.721
484,48.4,0.258,1.720
485,48.5,0.258,1.721
486,48.6,0.262,1.714
487,48.7,0.261,1.724
488,48.8,0.262,1.724
489,48.9,0.256,1.731
490,49.0,0.252,1.715
491,49.1,0.260,1.707
492,49.2,0.252,1.724
493,49.3,0.262,1.730
494,49.4,0.275,1.723
495,49.5,0.260,1.720
496,49.6,0.259,1.716
497,49.7,0.264,1.729
498,49.8,0.256,1.723
499,49.9,0.259,1.731
500,50.0,0.271,1.730
501,50.1,0.256,1.727
502,50.2,0.267,1.730
503,50.3,0.263,1.722
504,50.4,0.263,1.733
505,50.5,0.272,1.738
506,50.6,0.266,1.739
507,50.7,0.270,1.726
508,50.8,0.274,1.732
509,50.9,0.254,1.735
510,51.0,0.270,1.738
511,51.1,0.265,1.735
512,51.2,0.267,1.750
513,51.3,0.275,1.738
514,51.4,0.263,1.744
515,51.5,0.268,1.738
516,51.6,0.276,1.747
517,51.7,0.282,1.758
518,51.8,0.273,1.745
