Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 216
Start Time: 1/25/2023 2:23:36.6 PM
Scan Rate: 10
Sample,Time (s),CH1 (°C)
0,0.0,16.467
1,0.1,16.492
2,0.2,16.492
3,0.3,16.482
4,0.4,16.504
5,0.5,16.504
6,0.6,16.485
7,0.7,16.488
8,0.8,16.469
9,0.9,16.504
10,1.0,16.489
11,1.1,16.487
12,1.2,16.520
13,1.3,16.536
14,1.4,16.517
15,1.5,16.516
16,1.6,16.496
17,1.7,16.496
18,1.8,16.493
19,1.9,16.427
20,2.0,16.487
21,2.1,16.485
22,2.2,16.516
23,2.3,16.470
24,2.4,16.488
25,2.5,16.494
26,2.6,16.534
27,2.7,16.491
28,2.8,16.442
29,2.9,16.438
30,3.0,16.445
31,3.1,16.414
32,3.2,16.497
33,3.3,16.465
34,3.4,16.460
35,3.5,16.457
36,3.6,16.505
37,3.7,16.414
38,3.8,16.487
39,3.9,16.397
40,4.0,16.553
41,4.1,16.478
42,4.2,16.482
43,4.3,16.505
44,4.4,16.540
45,4.5,16.444
46,4.6,16.526
47,4.7,16.462
48,4.8,16.446
49,4.9,16.490
50,5.0,16.313
51,5.1,16.467
52,5.2,16.446
53,5.3,16.456
54,5.4,16.447
55,5.5,16.434
56,5.6,16.470
57,5.7,16.469
58,5.8,16.426
59,5.9,16.448
60,6.0,16.438
61,6.1,16.481
62,6.2,16.435
63,6.3,16.451
64,6.4,16.428
65,6.5,16.412
66,6.6,16.407
67,6.7,16.450
68,6.8,16.442
69,6.9,16.438
70,7.0,16.438
71,7.1,16.449
72,7.2,16.450
73,7.3,16.477
74,7.4,16.455
75,7.5,16.472
76,7.6,16.464
77,7.7,16.478
78,7.8,16.478
79,7.9,16.488
80,8.0,16.486
81,8.1,16.515
82,8.2,16.491
83,8.3,16.514
84,8.4,16.499
85,8.5,16.527
86,8.6,16.537
87,8.7,16.546
88,8.8,16.576
89,8.9,16.567
90,9.0,16.580
91,9.1,16.593
92,9.2,16.587
93,9.3,16.671
94,9.4,16.650
95,9.5,16.601
96,9.6,16.575
97,9.7,8.954
98,9.8,1.347
99,9.9,1.007
100,10.0,1.457
101,10.1,1.376
102,10.2,1.175
103,10.3,0.979
104,10.4,0.862
105,10.5,0.920
106,10.6,0.962
107,10.7,1.020
108,10.8,1.012
109,10.9,0.956
110,11.0,0.888
111,11.1,0.856
112,11.2,0.827
113,11.3,0.810
114,11.4,0.834
115,11.5,0.843
116,11.6,0.874
117,11.7,0.888
118,11.8,0.954
119,11.9,1.020
120,12.0,1.096
121,12.1,1.147
122,12.2,1.207
123,12.3,1.233
124,12.4,1.272
125,12.5,1.291
126,12.6,1.328
127,12.7,1.337
128,12.8,1.355
129,12.9,1.377
130,13.0,1.377
131,13.1,1.406
132,13.2,1.428
133,13.3,1.434
134,13.4,1.454
135,13.5,1.458
136,13.6,1.480
137,13.7,1.488
138,13.8,1.517
139,13.9,1.517
140,14.0,1.532
141,14.1,1.546
142,14.2,1.555
143,14.3,1.558
144,14.4,1.549
145,14.5,1.596
146,14.6,1.588
147,14.7,1.600
148,14.8,1.613
149,14.9,1.609
150,15.0,1.619
151,15.1,1.641
152,15.2,1.648
153,15.3,1.653
154,15.4,1.678
155,15.5,1.654
156,15.6,1.670
157,15.7,1.679
158,15.8,1.675
159,15.9,1.691
160,16.0,1.679
161,16.1,1.701
162,16.2,1.703
163,16.3,1.708
164,16.4,1.707
165,16.5,1.712
166,16.6,1.722
167,16.7,1.722
168,16.8,1.726
169,16.9,1.736
170,17.0,1.733
171,17.1,1.746
172,17.2,1.751
173,17.3,1.749
174,17.4,1.753
175,17.5,1.742
176,17.6,1.746
177,17.7,1.762
178,17.8,1.755
179,17.9,1.756
180,18.0,1.766
181,18.1,1.771
182,18.2,1.762
183,18.3,1.777
184,18.4,1.774
185,18.5,1.776
186,18.6,1.779
187,18.7,1.769
188,18.8,1.787
189,18.9,1.788
190,19.0,1.784
191,19.1,1.784
192,19.2,1.798
193,19.3,1.796
194,19.4,1.791
195,19.5,1.795
196,19.6,1.801
197,19.7,1.798
198,19.8,1.807
199,19.9,1.799
200,20.0,1.807
201,20.1,1.808
202,20.2,1.814
203,20.3,1.818
204,20.4,1.813
205,20.5,1.804
206,20.6,1.821
207,20.7,1.816
208,20.8,1.826
209,20.9,1.822
210,21.0,1.822
211,21.1,1.820
212,21.2,1.828
213,21.3,1.825
214,21.4,1.831
215,21.5,1.827
