Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 583
Start Time: 1/25/2023 2:28:29.54 PM
Scan Rate: 50
Sample,Time (s),CH1 (°C)
0,0.00,18.091
1,0.02,18.093
2,0.04,18.098
3,0.06,18.089
4,0.08,18.092
5,0.10,18.085
6,0.12,18.088
7,0.14,18.098
8,0.16,18.089
9,0.18,18.093
10,0.20,18.096
11,0.22,18.096
12,0.24,18.094
13,0.26,18.095
14,0.28,18.094
15,0.30,18.101
16,0.32,18.098
17,0.34,18.104
18,0.36,18.097
19,0.38,18.103
20,0.40,18.092
21,0.42,18.102
22,0.44,18.096
23,0.46,18.101
24,0.48,18.100
25,0.50,18.102
26,0.52,18.109
27,0.54,18.113
28,0.56,18.103
29,0.58,18.102
30,0.60,18.098
31,0.62,18.104
32,0.64,18.102
33,0.66,18.106
34,0.68,18.106
35,0.70,18.106
36,0.72,18.095
37,0.74,18.110
38,0.76,18.118
39,0.78,18.114
40,0.80,18.101
41,0.82,18.109
42,0.84,18.114
43,0.86,18.109
44,0.88,18.110
45,0.90,18.112
46,0.92,18.107
47,0.94,18.107
48,0.96,18.110
49,0.98,18.109
50,1.00,18.111
51,1.02,18.116
52,1.04,18.106
53,1.06,18.106
54,1.08,18.115
55,1.10,18.109
56,1.12,18.105
57,1.14,18.109
58,1.16,18.111
59,1.18,18.111
60,1.20,18.113
61,1.22,18.111
62,1.24,18.116
63,1.26,18.116
64,1.28,18.110
65,1.30,18.112
66,1.32,18.119
67,1.34,18.114
68,1.36,18.103
69,1.38,18.110
70,1.40,18.112
71,1.42,18.112
72,1.44,18.116
73,1.46,18.108
74,1.48,18.116
75,1.50,18.120
76,1.52,18.116
77,1.54,18.122
78,1.56,18.103
79,1.58,18.101
80,1.60,18.105
81,1.62,18.111
82,1.64,18.108
83,1.66,18.116
84,1.68,18.111
85,1.70,18.113
86,1.72,18.113
87,1.74,18.116
88,1.76,18.120
89,1.78,18.122
90,1.80,18.120
91,1.82,18.115
92,1.84,18.118
93,1.86,18.123
94,1.88,18.119
95,1.90,18.116
96,1.92,18.114
97,1.94,18.122
98,1.96,18.117
99,1.98,18.120
100,2.00,18.115
101,2.02,18.120
102,2.04,18.116
103,2.06,18.121
104,2.08,18.119
105,2.10,18.115
106,2.12,18.107
107,2.14,18.125
108,2.16,18.115
109,2.18,18.115
110,2.20,18.115
111,2.22,18.111
112,2.24,18.117
113,2.26,18.110
114,2.28,18.113
115,2.30,18.113
116,2.32,18.116
117,2.34,18.117
118,2.36,18.108
119,2.38,18.111
120,2.40,18.113
121,2.42,18.113
122,2.44,18.108
123,2.46,18.111
124,2.48,18.110
125,2.50,18.101
126,2.52,18.104
127,2.54,18.103
128,2.56,18.098
129,2.58,18.103
130,2.60,18.092
131,2.62,18.104
132,2.64,18.098
