Device: USB-2408-2AO
Serial Number: 1C3CD21
Channel Count: 1
Sample Count: 508
Start Time: 1/18/2023 3:25:03.8 PM
Scan Rate: 10
Sample,Time (s),CH2 (µV)
282,28.2,-214.716
283,28.3,-214.409
284,28.4,-214.661
285,28.5,-214.539
286,28.6,-214.605
287,28.7,-214.782
288,28.8,-214.577
289,28.9,-215.089
290,29.0,-214.931
291,29.1,-215.089
292,29.2,-214.856
293,29.3,-215.098
294,29.4,-214.744
295,29.5,-214.837
296,29.6,-214.735
297,29.7,-214.549
298,29.8,-214.819
299,29.9,-214.521
300,30.0,-214.605
301,30.1,-214.651
302,30.2,-214.642
303,30.3,-214.856
304,30.4,-214.819
305,30.5,-214.707
306,30.6,-215.042
307,30.7,-214.959
308,30.8,-214.921
309,30.9,-215.117
310,31.0,-215.182
311,31.1,-214.921
312,31.2,-214.633
313,31.3,-214.968
314,31.4,-214.800
315,31.5,-214.875
316,31.6,-214.875
317,31.7,-214.903
318,31.8,-214.865
319,31.9,-214.931
320,32.0,-214.968
321,32.1,-214.912
322,32.2,-215.452
323,32.3,-215.219
324,32.4,-214.968
325,32.5,-215.219
326,32.6,-215.182
327,32.7,-215.098
328,32.8,-215.117
329,32.9,-214.893
330,33.0,-214.912
331,33.1,-215.201
332,33.2,-215.117
333,33.3,-215.033
334,33.4,-215.136
335,33.5,-215.359
336,33.6,-215.229
337,33.7,-215.219
338,33.8,-215.322
339,33.9,-215.638
340,34.0,-215.285
341,34.1,-215.136
342,34.2,-215.564
343,34.3,-215.285
344,34.4,-215.657
345,34.5,-215.564
346,34.6,-215.415
347,34.7,-215.229
348,34.8,-215.545
349,34.9,-215.480
350,35.0,-215.285
351,35.1,-215.201
352,35.2,-215.368
353,35.3,-215.890
354,35.4,-215.443
355,35.5,-215.126
356,35.6,-215.648
357,35.7,-215.610
358,35.8,-215.592
359,35.9,-215.443
360,36.0,-215.694
361,36.1,-215.452
362,36.2,-215.331
363,36.3,-215.648
364,36.4,-215.117
365,36.5,-215.480
366,36.6,-215.052
367,36.7,-215.406
368,36.8,-215.555
369,36.9,-215.266
370,37.0,-215.424
371,37.1,-215.331
372,37.2,-215.322
373,37.3,-215.694
374,37.4,-215.359
375,37.5,-215.517
376,37.6,-215.434
377,37.7,-215.303
378,37.8,-215.294
379,37.9,-215.285
380,38.0,-215.424
381,38.1,-215.480
382,38.2,-215.219
383,38.3,-215.182
384,38.4,-215.163
385,38.5,-215.005
386,38.6,-215.629
387,38.7,-215.517
